userid,orderid,orderTime,orderType,city,country,continent
100000000013,1000015,2016-12-14 19:21:56,0,柏林,德国,欧洲
100000000013,1000014,2017-08-06 03:00:43,0,旧金山,美国,北美洲
100000000393,1000033,2017-07-07 23:11:36,0,巴黎,法国,欧洲
100000000459,1000036,2016-12-01 22:14:28,0,纽约,美国,北美洲
100000000459,1000034,2016-11-15 02:05:23,0,巴厘岛,印度尼西亚,亚洲
100000000637,1000040,2017-02-10 23:14:52,0,巴塞罗那,西班牙,欧洲
100000000695,1000042,2017-06-29 23:55:34,0,东京,日本,亚洲
100000000949,1000050,2017-07-24 07:29:51,0,珀斯,澳大利亚,大洋洲
100000000949,1000051,2017-07-15 08:40:41,0,珀斯,澳大利亚,大洋洲
100000000949,1000047,2017-07-20 03:43:38,0,珀斯,澳大利亚,大洋洲
100000000975,1000052,2017-06-12 18:14:58,0,新加坡,新加坡,亚洲
100000001023,1000068,2017-03-22 18:51:28,0,东京,日本,亚洲
100000001023,1000066,2017-01-04 04:19:01,0,东京,日本,亚洲
100000001023,1000070,2017-01-04 04:19:01,1,东京,日本,亚洲
100000001023,1000071,2017-02-08 01:45:11,0,普吉岛,泰国,亚洲
100000001023,1000055,2017-01-04 04:19:01,0,东京,日本,亚洲
100000001023,1000054,2017-01-04 04:19:01,1,东京,日本,亚洲
100000001231,1000077,2017-01-04 19:18:54,0,伦敦,英国,欧洲
100000001295,1000079,2017-05-28 03:45:36,0,纽约,美国,北美洲
100000001505,1000091,2017-05-13 20:04:23,0,巴黎,法国,欧洲
100000001505,1000092,2017-05-14 03:26:25,1,巴黎,法国,欧洲
100000001505,1000094,2017-05-18 21:36:06,1,阿姆斯特丹,荷兰,欧洲
100000001505,1000095,2017-05-14 02:30:55,1,巴黎,法国,欧洲
100000001505,1000096,2017-05-14 04:23:12,1,布鲁塞尔,比利时,欧洲
100000001955,1000134,2017-06-13 17:43:32,0,新加坡,新加坡,亚洲
100000001955,1000135,2017-06-13 17:31:55,0,新加坡,新加坡,亚洲
100000001955,1000136,2017-06-13 17:55:40,0,新加坡,新加坡,亚洲
100000002371,1000163,2017-03-07 00:56:40,0,大阪,日本,亚洲
100000002371,1000164,2017-03-07 19:08:29,0,大阪,日本,亚洲
100000002371,1000165,2017-03-07 18:52:14,0,大阪,日本,亚洲
100000002371,1000166,2017-04-28 06:20:51,0,大阪,日本,亚洲
100000003097,1000194,2016-11-07 20:21:58,0,纽约,美国,北美洲
100000003461,1000196,2017-04-02 18:46:55,1,曼谷,泰国,亚洲
100000003639,1000202,2017-08-07 17:16:54,0,岘港,越南,亚洲
100000003639,1000203,2017-05-08 18:34:42,0,曼谷,泰国,亚洲
100000003805,1000225,2017-08-11 09:52:24,0,东京,日本,亚洲
100000004277,1000250,2017-04-05 18:00:13,0,曼谷,泰国,亚洲
100000004297,1000258,2016-11-08 00:52:00,0,布里斯班,澳大利亚,大洋洲
100000004317,1000269,2017-07-27 21:28:41,0,墨尔本,澳大利亚,大洋洲
100000005007,1000303,2017-02-14 18:20:44,0,曼谷,泰国,亚洲
100000005007,1000300,2016-12-02 22:45:04,1,首尔,韩国,亚洲
100000006981,1000354,2016-11-12 12:51:14,0,夏威夷欧胡岛（檀香山）,美国,北美洲
100000006981,1000357,2016-12-17 19:09:13,0,曼谷,泰国,亚洲
100000006981,1000359,2016-11-25 19:58:30,0,夏威夷欧胡岛（檀香山）,美国,北美洲
100000008119,1000418,2016-12-16 01:23:27,0,巴黎,法国,欧洲
100000008119,1000420,2017-01-09 22:43:40,1,巴黎,法国,欧洲
100000008425,1000433,2017-05-19 02:05:42,0,京都,日本,亚洲
100000008425,1000435,2016-11-07 22:38:24,0,悉尼,澳大利亚,大洋洲
100000008995,1000460,2017-06-20 07:01:44,0,台北,中国台湾,亚洲
100000009017,1000463,2017-09-03 20:40:55,0,北海道--札幌,日本,亚洲
100000009017,1000464,2017-09-03 20:44:40,1,北海道--札幌,日本,亚洲
100000009017,1000465,2017-07-05 18:08:15,1,长崎,日本,亚洲
100000009463,1000486,2017-04-12 17:29:51,0,台北,中国台湾,亚洲
100000009611,1000493,2017-06-06 23:04:18,0,香港,中国香港,亚洲
100000009611,1000495,2017-06-12 00:48:30,0,香港,中国香港,亚洲
100000009773,1000504,2017-03-06 19:04:47,1,西雅图,美国,北美洲
100000009925,1000507,2017-05-23 03:37:40,0,墨尔本,澳大利亚,大洋洲
100000009925,1000508,2017-05-22 02:30:25,0,墨尔本,澳大利亚,大洋洲
100000009925,1000509,2017-05-22 02:24:24,0,墨尔本,澳大利亚,大洋洲
100000009925,1000510,2017-05-22 02:41:36,0,墨尔本,澳大利亚,大洋洲
