feature,score
to_closest_5_time_interval_min,319
interval_lastvale4,261
closest_6_time,255
interval_lastvale2,243
closest_1_time,241
first_interval,234
interval_lastvale1,230
interval_lastvale3,226
interval_mean,223
click5_rate,219
to_closest_1_time_interval_median,212
click6_rate,208
closest_5_time,206
to_closest_1_time_interval_min,182
to_closest_5_time_interval_median,179
interval_var,174
interval_min,163
click1_rate,153
closest_7_time,153
interval_last3_mean,152
to_closest_1_time_interval_mean,146
to_closest_5_time_interval_max,143
to_closest_6_time_interval_min,140
to_closest_5_time,136
interval_last3_var,130
to_closest_1_time_interval_var,129
to_closest_1_time,121
to_closest_6_time,100
to_closest_5_time_interval_var,100
Type6_num_by_day,96
Type1_num_by_day,95
Type5_num_by_day,89
to_closest_1_time_interval_max,81
to_closest_5_time_interval_mean,79
actionType5,75
to_closest_5_dist,72
click7_rate,69
actionType6,64
ever_purchase_orderType1,63
to_closest_1_dist,63
keywords_num,63
to_closest_6_time_interval_max,61
to_lastorder_timestamp,60
tages_num,60
Type6_last3_day,57
to_firstorder_timestamp,56
to_closest_6_time_interval_median,55
actionType1,53
Type5_last3_day,50
click4_rate,47
Type5_last1_day,47
daoshuType3,45
days,45
to_closest_6_time_interval_mean,44
order_time_interval_mean,43
to_closest_3_time_interval_median,43
order_time_interval_lastvale1,42
Type6_last1_day,42
to_closest_4_time_interval_max,41
closest_8_time,41
to_closest_2_time_interval_median,41
order_time_interval_lastvale2,41
daoshuType1,40
order_time_interval_firstvale,40
to_closest_8_time_interval_median,40
closest_2_time,39
to_closest_8_time,39
Type1_last3_day,37
order_time_interval_var,37
order_day_mean,36
to_closest_2_time_interval_var,35
to_closest_8_time_interval_min,35
Type1_last1_day,33
to_closest_2_time_interval_min,30
click2_rate,29
to_closest_4_time_interval_median,29
to_closest_2_time_interval_max,28
click3_rate,28
closest_3_time,28
to_closest_8_time_interval_var,28
to_closest_3_time_interval_mean,27
to_closest_2_time_interval_mean,27
to_closest_4_time,25
closest_4_time,24
to_closest_6_dist,23
to_closest_8_dist,22
to_closest_3_time_interval_min,22
order_time_interval_max,22
to_closest_2_time,22
Type4_last3_day,21
to_closest_9_time_interval_median,21
to_closest_7_time,20
closest_9_time,20
click8_rate,20
to_closest_2_dist,20
to_closest_4_time_interval_min,19
order_time_interval_lastvale3,19
to_closest_8_time_interval_max,19
Type3_num_by_day,18
to_closest_7_time_interval_median,18
to_closest_4_time_interval_mean,18
firstType,18
to_closest_3_dist,17
to_closest_8_time_interval_mean,17
to_closest_4_dist,16
to_closest_7_time_interval_max,16
Type4_num_by_day,16
Type7_num_by_day,16
to_closest_6_time_interval_var,15
day_after_lastorder,15
click9_rate,14
daoshuType2,13
to_closest_3_time_interval_var,13
to_closest_9_time,13
to_closest_4_time_interval_var,12
Type2_num_by_day,12
Type8_num_by_day,12
to_closest_7_time_interval_min,10
to_closest_9_dist,10
to_closest_9_time_interval_min,10
Type9_num_by_day,9
to_closest_7_dist,9
Type2_last3_day,9
Type3_last1_day,8
actionType2,8
to_closest_3_time,8
to_closest_9_time_interval_mean,7
to_closest_9_time_interval_max,7
actionType3,7
actionType8,6
actionType7,6
to_closest_3_time_interval_max,5
to_closest_7_time_interval_mean,4
Type3_last3_day,4
to_closest_9_time_interval_var,4
actionType9,4
actionType4,3
Type7_last1_day,3
to_closest_7_time_interval_var,2
Type7_last3_day,2
Type4_last1_day,1
Type8_last3_day,1
Type9_last3_day,1
Type2_last1_day,1
Type8_last1_day,1
