userid,Type1_last3_day,Type2_last3_day,Type3_last3_day,Type4_last3_day,Type5_last3_day,Type6_last3_day,Type7_last3_day,Type8_last3_day,Type9_last3_day
100000000013,2,0,0,0,0,1,0,0,0
100000000111,1,0,0,0,1,1,0,0,0
100000000127,1,0,0,0,1,0,2,0,0
100000000231,4,6,2,5,4,3,0,0,0
100000000379,4,2,0,5,3,3,0,0,0
100000000393,3,0,0,0,4,2,0,0,0
100000000423,121,0,0,9,14,0,0,0,0
100000000459,3,0,0,0,4,3,0,0,0
100000000465,3,0,0,0,0,0,0,1,1
100000000471,2,0,3,0,9,3,0,1,0
100000000637,8,0,0,0,12,5,0,0,0
100000000695,3,1,1,4,5,4,2,1,1
100000000745,3,0,0,0,0,0,0,0,0
100000000755,2,0,0,0,3,0,0,0,0
100000000867,4,5,5,2,5,2,2,0,0
100000000949,5,1,1,0,4,5,2,1,1
100000000975,5,4,0,2,9,4,0,0,0
100000001023,17,2,0,0,8,10,5,0,0
100000001195,1,0,0,0,2,0,0,0,0
100000001231,3,0,0,0,4,1,0,0,0
100000001295,4,0,0,0,6,2,1,0,0
100000001343,4,0,0,0,3,4,1,2,1
100000001505,3,1,0,0,5,5,2,1,1
100000001557,7,0,0,0,11,2,0,0,0
100000001683,4,1,0,0,5,4,1,0,0
100000001711,0,0,0,0,11,2,0,0,0
100000001803,3,0,0,0,2,0,0,0,0
100000001955,4,1,0,0,6,5,4,3,3
100000001963,1,0,0,0,2,1,0,0,0
100000002111,2,0,0,0,8,4,0,0,0
100000002165,1,0,0,0,0,0,0,0,0
100000002179,4,0,0,0,2,1,0,0,0
100000002199,5,0,0,0,6,7,0,0,0
100000002215,3,4,0,1,12,7,1,0,0
100000002243,3,3,0,2,4,1,0,0,0
100000002245,3,0,0,0,0,0,0,0,0
100000002271,3,0,2,1,4,0,1,0,0
100000002307,3,0,0,0,3,1,0,0,0
100000002363,3,0,0,0,0,0,0,0,0
100000002371,3,0,0,0,5,2,1,0,0
100000002535,3,1,0,11,0,0,0,0,0
100000002581,2,0,0,0,1,0,0,0,0
100000002653,0,0,0,0,2,0,0,0,0
100000002811,7,0,1,0,0,0,0,0,0
100000002873,0,1,0,0,1,0,0,0,0
100000002879,3,1,0,0,3,1,1,0,0
100000003091,3,0,0,0,2,5,0,0,0
100000003097,3,0,0,0,4,1,0,0,0
100000003311,3,0,0,0,2,0,0,0,0
100000003461,3,1,1,2,3,1,0,0,0
100000003483,4,0,0,0,2,3,0,1,1
100000003559,1,0,0,0,0,0,0,0,0
100000003611,2,0,0,0,2,3,0,0,0
100000003639,3,0,0,0,4,2,2,0,0
100000003685,3,1,2,0,2,2,0,0,0
100000003805,7,0,0,1,5,3,2,0,0
100000003875,2,0,0,0,2,0,1,0,0
100000003891,5,0,0,0,4,1,0,1,1
100000003941,1,0,0,0,3,0,0,0,0
100000004163,3,1,1,1,0,0,0,0,0
100000004223,1,0,0,0,0,0,0,0,0
100000004277,3,2,0,0,3,1,1,0,0
100000004297,0,0,0,0,12,6,0,3,0
100000004303,1,0,0,0,0,1,0,0,0
100000004317,4,0,1,0,3,2,1,1,1
100000004319,4,0,0,0,5,1,1,0,0
100000004359,2,0,0,0,4,1,0,0,0
100000004429,4,0,0,2,6,1,0,0,0
100000004453,3,0,0,0,0,0,0,0,0
100000004529,3,0,0,0,8,6,0,0,0
100000004867,4,0,0,0,1,0,0,0,0
100000005007,4,0,0,0,3,0,0,0,0
100000005091,3,0,0,0,3,0,0,0,0
100000005125,6,1,0,0,4,0,0,0,0
100000005513,3,0,0,0,13,4,0,0,0
100000005649,5,0,0,0,11,11,0,0,0
100000005719,0,0,0,0,8,0,0,1,0
100000005739,6,0,0,0,8,3,1,0,0
100000005755,3,0,0,0,6,1,0,0,0
100000005805,1,0,0,0,1,0,0,0,0
100000005955,3,0,0,0,0,0,0,0,0
100000006005,4,0,0,0,7,3,0,0,0
100000006013,8,0,1,0,5,2,1,0,0
100000006081,4,0,0,0,5,2,1,0,0
100000006123,4,0,0,0,6,1,0,0,0
100000006395,3,0,0,0,5,3,1,0,0
100000006487,3,0,0,0,0,0,0,0,0
100000006539,3,0,0,0,13,8,0,0,0
100000006569,4,0,0,0,5,1,0,0,0
100000006605,3,0,0,0,5,1,1,0,0
100000006647,2,0,0,0,2,2,0,0,0
100000006857,4,3,0,7,8,1,0,0,0
100000006933,2,0,0,0,12,1,0,0,0
100000006981,5,0,0,0,5,3,0,1,1
100000007073,3,0,0,0,3,3,0,0,0
100000007079,4,0,0,0,6,1,1,0,0
100000007283,1,0,0,0,3,1,0,0,0
100000007329,2,0,0,0,2,4,0,0,0
100000007367,0,0,0,0,2,0,0,0,0
100000007409,3,14,5,26,13,0,1,6,4
100000007457,2,0,0,0,1,1,0,0,0
