userid,interval_mean,interval_lastvale1,interval_lastvale2,interval_lastvale3,next_actionTime,to_next_actionTime
100000000013,344490.35,240330.0,69377.0,180836.0,1503401854.33,163514.33
100000000111,nan,nan,nan,nan,nan,nan
100000000127,2373174.33,3266886.0,3766801.0,85836.0,1500188442.33,2373174.33
100000000231,1107733.46,9828.33333325,12188.8,133066.0,1496891524.71,51672.7133334
100000000379,834480.81,242832.333333,14868.4166667,59336.25,1504974394.0,105679.0
100000000393,279661.46,972271.0,759282.5,363791.5,1505689814.83,698210.83
100000000423,475824.79,77206.8333333,5193.5,6102.11111116,1505006075.64,20668.6433332
100000000459,335439.32,849314.642857,11372.5,277071.0,1480980918.85,378973.852857
100000000465,925351.06,127082.0,40110.0,7196972.0,1495777584.33,2454721.33
100000000471,8598793.55,25581340.6389,80249.45,134790.55,1512090868.44,8598654.43889
100000000637,639217.92,88105.6944444,533845.472222,2037904.25,1487627285.39,885106.386667
100000000695,553376.33,4886.01785707,115131.285714,930316.071429,1499221891.99,350017.995
100000000745,383455.46,3545947.0,146796.0,123136.0,1483777476.67,1271959.67
100000000755,930127.67,930127.666667,nan,nan,1477218006.67,930089.67
100000000867,584264.82,40279.0,3237811.88889,9070.25,1504363873.27,1095503.26889
100000000949,76053.38,4820.75,6783.5999999,108090.4,1501061548.0,39686.0
100000000975,422197.78,9904.75,45637.5,256460.714286,1499626613.24,103915.24
100000001023,192946.89,5584.9000001,76830.8631577,26220.2368422,1497748902.5,34491.5
100000001195,989121.5,91911.0,1886332.0,nan,1480387613.5,989121.5
100000001231,1676026.45,2266719.33333,3537680.33333,6113312.66667,1506088579.11,3972540.11333
100000001295,1348555.28,20833.5,628066.25,65496.25,1502748102.0,238091.0
100000001343,25773.9,6745.28571439,44802.5142856,nan,1499366694.9,25750.9000001
100000001505,1175822.7,237616.392857,342340.357143,23166.0,1495553784.67,200796.67
100000001557,661211.35,16053.0,11346.25,96901.5,1492254054.33,41202.3299999
100000001683,2073054.48,851090.333333,3973552.0,6890747.66667,1499875088.33,3904598.33333
100000001711,692415.21,271236.25,58950.5,280395.083333,1480293891.78,203525.78
100000001803,4292156.2,17171038.5,1587061.0,1545568.0,1507678261.67,6767884.67
100000001955,108186.83,60410.5,26848.45,237301.55,1497542498.33,107985.33
100000001963,nan,nan,nan,nan,nan,nan
100000002111,132493.36,188903.47619,11160.1666667,266431.5,1492617731.52,155134.522857
100000002165,nan,nan,nan,nan,nan,nan
100000002179,802499.51,11188.0,505532.666667,1052084.33333,1496330661.0,522935.0
100000002199,1061405.81,1110958.20833,103020.410714,4698579.71429,1488781632.11,1970823.11333
100000002215,2152944.33,4973.66666675,77908.0833333,379808.613636,1495382896.12,154230.12
100000002243,1427178.06,579287.583333,915848.583333,2287114.16667,1501312225.44,1260681.44333
100000002245,194057.8,36699.0,176138.0,175665.666667,1477814342.89,129500.89
100000002271,3606474.8,2197745.8,5015203.8,nan,1503417768.4,3606385.4
100000002307,629926.0,1024249.33333,36044.3333335,829484.333333,1478133761.0,629926.0
100000002363,1188926.44,662366.0,280921.0,192300.0,1505335723.0,378529.0
100000002371,409243.39,24501.75,88105.25,205390.0,1495063987.0,105958.0
100000002535,504205.09,88680.3333333,138411.166667,117302.666667,1504940657.06,114743.06
100000002581,1314679.0,2470044.0,85737.0,1388256.0,1480009849.0,1314679.0
100000002653,267350.0,267350.0,nan,nan,1478960033.0,267350.0
100000002811,973759.15,44644.0,80163.0,60492.0,1503600394.33,61766.3299999
100000002873,nan,nan,nan,nan,nan,nan
100000002879,995386.08,557123.5,1478796.25,1792927.75,1506017591.0,1276080.0
100000003091,1710755.06,358197.5,411549.0,109525.666667,1492487776.22,293042.22
100000003097,1041905.88,890939.833333,474320.833333,7602258.66667,1490477951.44,2989090.44333
100000003311,560673.56,625877.666667,248026.333333,1062026.66667,1505029155.22,645310.22
100000003461,1436177.92,987130.0,1177074.0,674774.117647,1503526930.04,945966.04
100000003483,6072331.17,17959810.5,241738.25,15444.75,1501518121.67,6072322.67
100000003559,nan,nan,nan,nan,nan,nan
100000003611,35995.75,35995.75,nan,nan,1498070011.75,35982.75
100000003639,833093.65,224264.571429,1521238.5,1740164.5,1503259245.76,1161380.76143
100000003685,114618.89,242643.214286,36233.5,141221.0,1504590349.28,139946.284286
100000003805,1611636.83,22447.4166667,29285.25,7976444.66667,1505114752.78,2675996.77667
100000003875,396845.0,44634.3333333,1337564.66667,45534.0,1495341884.0,475911.0
100000003891,222560.03,1593363.33333,180509.0,9984.71428561,1478677621.35,594615.353333
100000003941,1970668.58,7105138.33333,248119.666667,348861.0,1488207227.0,2567373.0
100000004163,400500.42,427648.25,776516.0,98388.0,1495128363.33,434114.33
100000004223,nan,nan,nan,nan,nan,nan
100000004277,531388.94,965122.6,332147.0,1861479.0,1499281639.8,1052397.8
100000004297,316426.92,40294.0,185455.0,57623.5,1478672174.5,94424.5
100000004303,10580184.0,10580184.0,nan,nan,1500819096.0,10580184.0
100000004317,572731.54,835077.0,187321.444444,787584.401709,1502787843.62,603118.62
100000004319,635810.37,54995.8333333,241731.0,3583508.33333,1498547347.55,1293253.55333
100000004359,209437.29,70971.8333333,728543.166667,224545.0,1484146758.83,341276.83
100000004429,467475.15,578090.833333,300306.0,64159.0,1504503719.61,314182.613333
100000004453,195700.03,341159.0,480690.0,172809.5,1494699803.83,331552.83
100000004529,5501979.87,11874158.8,14804625.4,175259.133333,1510959564.78,8951340.78
100000004867,378620.06,593507.333333,235697.666667,617974.0,1493344228.0,482393.0
100000005007,198002.39,171493.5,62868.3333333,31400.6666667,1487945027.0,88536.0
100000005091,117268.05,86433.5,259195.0,345588.333333,1494208791.11,230386.11
100000005125,2089384.12,2095184.57143,145054.333333,4027913.46667,1499052511.69,2088701.69143
100000005513,3238259.21,3970620.35714,83558.6428571,39604.5,1496111278.0,1364564.0
100000005649,1553855.75,25784.5,3081927.0,nan,1492985273.25,1553201.25
100000005719,355864.5,138601.5,573127.5,nan,1478894610.5,355864.5
100000005739,112094.97,21370.3333333,53453.5,358457.333333,1498130342.89,144142.893333
100000005755,1927182.1,1915195.0,37938.0,238548.125,1495445868.38,730458.38
100000005805,nan,nan,nan,nan,nan,nan
100000005955,606277.92,2164408.0,178955.0,71424.0,1496520187.0,804929.0
100000006005,1209290.05,39240.5999999,40446.3333333,13374858.1667,1494748344.97,4484041.97
100000006013,670461.53,18072.2142856,5229.0,884245.166667,1496587010.17,301793.174286
100000006081,450473.27,59184.0,38354.0,98260.4000001,1498027710.13,64868.1300001
100000006123,793804.5,60323.5,1394288.0,926802.0,1493301800.0,792191.0
100000006395,3460578.39,2788998.83333,4358338.0,3234398.33333,1497910623.56,3459707.55667
100000006487,869509.52,814077.0,117207.0,186221.25,1502644157.75,372501.75
100000006539,248132.4,422877.52381,88180.0476189,233339.619048,1491246974.26,247542.257143
