userid,actionType234_after_submit_last_order
114740494336,0
114803867648,0
111840919554,0
110305771527,0
110834417672,1
112560865287,5
110185873425,0
110108114965,2
112529965084,0
111845048352,0
112529965089,0
111827746856,0
114822152243,4
112525180981,0
114140282935,0
110913617976,1
110103035961,0
110388871225,1
111199813691,0
110102773820,0
112503783480,0
114746294334,3
110124335169,0
110145273921,0
111846719556,0
112669065285,0
110840217672,0
111800746058,0
114629967947,0
110972010573,1
111122513999,0
110109818961,0
110946517073,2
112529080403,0
110109818967,0
112506765404,0
112535765084,0
114820350044,0
110101135461,3
114714280038,0
110940717175,0
114832769144,0
111145746554,2
112523280506,1
114623053947,1
111155413119,3
112603365503,20
110148616322,0
110948417670,0
112508469388,8
111145713816,0
111124316313,0
111157313692,1
111157313694,1
110777335967,0
110124073122,3
111843246252,0
110942617777,1
111109046456,0
111143813311,0
112506765508,0
111840919753,0
114807767245,0
111126413518,0
111124185296,0
110701412563,2
110702035163,0
110147371228,0
110846410973,0
110102216927,0
114725880031,0
111145189610,2
114119180536,0
110941372670,11
114742493438,0
111195816193,1
112520265986,57
110934917379,0
111456813316,0
114746491138,0
111195816199,0
110917517576,0
114626167047,0
112520069386,0
110128333067,0
111422013714,0
114838667541,0
111422013719,0
114745180439,0
114821267741,11
114821267747,10
111808446757,2
111155380518,0
114714280230,0
114803867942,0
114820350245,3
111840919852,25
111120646450,19
110915617075,0
110104314164,2
111499280690,0
111840919858,0
114124980537,35
111190016318,13
111120613695,0
111197913411,0
112500965702,0
110727233863,0
112525869384,0
112525869386,5
111145484619,0
111153185099,11
111802548556,0
112529965387,0
110917910870,0
110917910871,0
111491613017,0
110917910877,0
111448916318,3
114119180639,0
114716180832,1
110838972770,0
110346273123,0
110838972772,0
111153316194,1
114716180836,0
110700233064,16
110166933865,1
114825953642,0
112524165488,4
110166835569,0
110819017073,0
112506765682,0
111850946954,0
111190016395,1
111141585293,4
111420113294,0
111141585296,0
114807767441,0
110386971026,0
114714280339,0
114142282134,2
114828050840,1
111197913498,0
111844819356,1
114743280030,4
110189871523,2
114743280039,1
110106116520,0
111128248757,0
114801967547,64
114639667647,1
114742493631,0
112525083088,0
110945272276,2
114148180436,0
114148082137,1
112525083106,1
112506569188,0
111158985194,0
112528065002,0
112630465008,0
111454913017,0
111158985212,1
111158985213,0
114824053248,2
110701412865,0
112638165506,0
110105035267,4
110943371779,21
110147371525,0
112620765708,0
111806546451,0
111145189913,0
112527082009,0
111149416996,0
114140480037,1
112628269606,0
111456813612,0
111128216113,1
114719982131,0
114809569847,192
110819017273,0
110309016122,2
112521183801,14
112601465407,0
112525083201,0
110707933765,0
111843148358,2
111147713095,0
114745893234,17
111147713098,0
112626565707,0
112506765907,1
112506765908,0
114740593235,0
110873117272,53
110873117273,0
111158985314,0
110779335268,4
111158985318,1
110140916327,2
112663265900,0
111145648756,11
112529965684,0
114111382133,0
110935310972,0
114801967745,1
110934917772,0
114148180630,0
112521380504,0
114664669849,1
110328873629,0
110106018469,1
110707835560,1
110871872171,0
112506569387,0
114800067246,19
114740691633,2
111845114551,1
114825167547,0
110323073726,8
110975517374,2
114740298431,1
114824250047,3
111141946053,0
110100873926,1
110140916422,0
110100218568,29
110168933065,0
111844819655,22
112564765388,1
111449113293,2
111124546258,0
110108771027,0
114836669142,0
111128085217,0
114793480933,0
110120633063,1
112521380584,0
114865767143,0
114639667947,0
111842919154,0
112601465587,0
114119082738,1
114122982136,0
111149613818,0
110938817275,0
112528065284,12
110309016326,0
110972633863,0
114740593430,0
110301971227,20
110386873121,0
110165033762,0
114624267043,0
110108214060,0
110104118067,0
114631967544,4
