userid,actionType1_num_after_submit_last_order,actionType2_num_after_submit_last_order,actionType3_num_after_submit_last_order,actionType4_num_after_submit_last_order,actionType5_num_after_submit_last_order,actionType6_num_after_submit_last_order,actionType7_num_after_submit_last_order,actionType8_num_after_submit_last_order,actionType9_num_after_submit_last_order
114740494336,2,0,0,0,1,1,0,1,1
114803867648,1,0,0,0,59,23,0,1,0
111840919554,0,0,0,0,2,2,0,0,0
110305771527,0,0,0,0,1,1,0,0,0
110834417672,9,0,1,0,6,2,1,1,1
112560865287,11,0,0,5,22,17,1,1,1
110185873425,6,0,0,0,5,12,0,1,0
110108114965,2,1,1,0,3,1,1,0,0
112529965084,6,0,0,0,6,5,0,1,1
111845048352,0,0,0,0,2,1,1,0,0
112529965089,4,0,0,0,3,2,1,0,1
111827746856,0,0,0,0,2,1,1,0,0
114822152243,9,3,1,0,6,4,2,1,1
112525180981,8,0,0,0,9,4,0,1,1
114140282935,6,0,0,0,4,2,1,1,1
110913617976,2,0,1,0,3,1,1,1,1
110103035961,6,0,0,0,11,2,0,1,0
110388871225,0,1,0,0,1,1,1,0,0
111199813691,2,0,0,0,3,2,0,0,0
110102773820,16,0,0,0,11,1,0,1,1
112503783480,3,0,0,0,3,1,0,1,0
114746294334,11,0,3,0,7,7,2,1,1
110124335169,0,0,0,0,1,1,2,0,0
110145273921,14,0,0,0,8,12,0,1,0
111846719556,0,0,0,0,1,1,0,0,0
112669065285,1,0,0,0,2,1,1,1,0
110840217672,4,0,0,0,5,5,0,1,0
111800746058,0,0,0,0,2,1,0,0,0
114629967947,3,0,0,0,2,1,1,0,0
110972010573,0,1,0,0,2,1,1,0,0
111122513999,0,0,0,0,1,1,1,0,0
110109818961,5,0,0,0,10,8,1,1,1
110946517073,12,0,1,1,8,6,0,0,0
112529080403,0,0,0,0,2,1,0,0,0
110109818967,19,0,0,0,4,1,0,1,1
112506765404,5,0,0,0,9,4,0,1,0
112535765084,0,0,0,0,3,0,0,1,0
114820350044,4,0,0,0,4,1,0,1,1
110101135461,16,0,3,0,7,2,2,0,0
114714280038,21,0,0,0,3,2,0,1,0
110940717175,12,0,0,0,5,1,0,1,1
114832769144,4,0,0,0,2,1,0,2,0
111145746554,4,1,1,0,4,1,0,1,1
112523280506,3,0,1,0,6,1,1,0,0
114623053947,4,0,1,0,4,2,2,1,1
111155413119,2,3,0,0,5,4,2,2,2
112603365503,11,0,18,2,20,3,1,2,2
110148616322,0,0,0,0,1,1,0,0,0
110948417670,0,0,0,0,1,1,1,0,0
112508469388,25,3,0,5,7,2,0,1,0
111145713816,6,0,0,0,10,2,0,2,0
111124316313,3,0,0,0,4,1,1,0,0
111157313692,0,0,1,0,5,4,0,0,0
111157313694,13,1,0,0,15,3,1,1,1
110777335967,0,0,0,0,2,1,0,0,0
110124073122,10,1,2,0,3,3,3,2,2
111843246252,2,0,0,0,2,1,1,1,1
110942617777,3,0,1,0,2,1,0,1,1
111109046456,3,0,0,0,3,1,0,0,0
111143813311,0,0,0,0,1,1,1,0,0
112506765508,9,0,0,0,8,1,0,1,1
111840919753,4,0,0,0,7,7,0,1,1
114807767245,1,0,0,0,1,1,1,0,0
111126413518,0,0,0,0,3,1,1,0,0
111124185296,3,0,0,0,8,1,1,1,1
110701412563,5,0,2,0,4,2,2,3,0
110702035163,4,0,0,0,4,1,0,1,1
110147371228,11,0,0,0,11,2,1,0,1
110846410973,10,0,0,0,14,7,0,1,0
110102216927,2,0,0,0,5,5,1,1,0
114725880031,9,0,0,0,12,1,0,1,1
111145189610,3,0,2,0,1,1,2,2,1
114119180536,2,0,0,0,3,3,2,1,1
110941372670,0,2,7,2,10,2,1,0,0
114742493438,0,0,0,0,1,1,0,0,0
111195816193,0,1,0,0,3,1,2,0,0
112520265986,9,10,26,21,10,5,1,2,2
110934917379,1,0,0,0,1,2,2,1,1
111456813316,12,0,0,0,6,1,0,1,0
114746491138,0,0,0,0,4,2,0,0,0
111195816199,13,0,0,0,1,1,0,1,0
110917517576,2,0,0,0,10,1,0,0,0
