userid,Type1_num_by_day,Type2_num_by_day,Type3_num_by_day,Type4_num_by_day,Type5_num_by_day,Type6_num_by_day,Type7_num_by_day,Type8_num_by_day,Type9_num_by_day,days
100000000013,1.41,0.02,0.07,0.02,0.57,0.32,0.02,0.07,0.05,56
100000000111,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
100000000127,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,4
100000000231,1.07,0.43,0.14,0.36,0.71,0.43,0.0,0.0,0.0,14
100000000379,1.24,0.09,0.21,0.18,0.41,0.32,0.03,0.0,0.0,34
100000000393,1.1,0.0,0.05,0.0,0.38,0.14,0.05,0.05,0.05,21
100000000423,11.75,0.78,0.34,0.47,1.69,0.44,0.41,4.78,0.28,32
100000000459,1.06,0.0,0.0,0.0,1.19,1.88,0.0,0.12,0.19,16
100000000465,1.82,0.0,0.0,0.0,0.73,0.55,0.0,0.27,0.27,11
100000000471,0.5,0.0,0.75,0.0,2.75,1.25,0.0,0.25,0.0,4
100000000637,2.0,0.0,0.0,0.0,2.57,1.29,0.0,0.0,0.0,7
100000000695,0.8,0.6,0.2,1.0,2.0,0.8,0.4,0.2,0.2,5
100000000745,1.92,0.0,0.0,0.0,0.33,0.25,0.0,0.08,0.08,12
100000000755,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2
100000000867,1.57,1.0,6.14,2.0,3.29,0.43,0.29,0.0,0.0,7
100000000949,1.3,0.2,0.1,0.1,1.1,0.8,0.4,0.3,0.3,10
100000000975,1.42,0.42,0.25,0.17,1.5,0.75,0.08,0.08,0.08,12
100000001023,2.21,0.05,0.06,0.02,1.32,0.82,0.07,0.13,0.04,85
100000001195,0.33,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,3
100000001231,1.15,0.0,0.0,0.0,1.23,0.23,0.0,0.08,0.0,13
100000001295,1.33,0.0,0.0,0.0,2.0,0.56,0.22,0.11,0.11,9
100000001343,4.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0,1.0,1
100000001505,1.44,0.78,0.56,0.11,2.11,1.89,0.78,0.67,0.67,9
100000001557,2.0,0.0,0.0,0.0,3.0,0.5,0.0,0.0,0.0,4
100000001683,1.12,0.12,0.0,0.0,1.12,0.62,0.12,0.0,0.0,8
100000001711,0.57,0.0,0.0,0.0,2.86,2.14,0.0,0.29,0.29,7
100000001803,0.71,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,7
100000001955,1.33,0.33,0.0,0.0,2.0,1.67,1.33,1.0,1.0,3
100000001963,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1
100000002111,1.0,0.0,0.0,0.0,2.0,0.86,0.0,0.0,0.0,7
100000002165,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
100000002179,1.25,0.0,0.0,0.0,1.3,0.15,0.0,0.0,0.0,20
100000002199,1.88,0.0,0.0,0.0,1.75,2.0,0.0,0.38,0.12,8
100000002215,1.0,0.44,0.0,0.11,2.0,1.0,0.11,0.0,0.0,9
100000002243,1.0,0.29,0.0,0.35,0.53,0.24,0.0,0.06,0.06,17
100000002245,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,8
100000002271,1.0,0.0,0.67,0.33,1.33,0.0,0.33,0.0,0.0,3
100000002307,1.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,4
100000002363,0.96,0.04,0.0,0.08,0.19,0.23,0.0,0.0,0.0,26
100000002371,1.46,0.0,0.0,0.0,1.08,0.77,0.08,0.31,0.08,13
100000002535,1.92,0.29,0.13,1.13,0.34,0.03,0.0,0.0,0.0,38
100000002581,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,4
100000002653,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
100000002811,1.82,0.0,0.36,0.0,0.64,0.27,0.09,0.0,0.0,11
100000002873,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
100000002879,1.19,0.04,0.08,0.0,0.46,0.04,0.04,0.0,0.0,26
100000003091,1.1,0.0,0.0,0.0,0.7,0.9,0.0,0.0,0.0,10
100000003097,0.89,0.0,0.0,0.0,1.0,0.44,0.0,0.33,0.11,9
100000003311,1.29,0.14,0.07,0.24,1.52,0.62,0.0,0.1,0.05,42
100000003461,1.12,1.38,0.62,0.75,0.88,0.38,0.0,0.12,0.0,8
100000003483,1.25,0.0,0.0,0.0,0.5,0.75,0.0,0.25,0.25,4
100000003559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
