ever_purchase_orderType1,userid
1.0,100000001023
1.0,100000001505
1.0,100000003461
1.0,100000005007
1.0,100000008119
1.0,100000009017
1.0,100000009773
1.0,100000009925
1.0,100000010199
1.0,100000014029
1.0,100000015969
1.0,100000016265
1.0,100000017277
1.0,100000017465
1.0,100000019487
1.0,100000021553
1.0,100000022129
1.0,100000022335
1.0,100000022499
1.0,100000022801
1.0,110100016324
1.0,110100016726
1.0,110100033067
1.0,110100116423
1.0,110100273229
1.0,110100512625
1.0,110100633862
1.0,110100818564
1.0,110100818565
1.0,110101273620
1.0,110101518268
1.0,110101618267
1.0,110101710128
1.0,110101733868
1.0,110101810163
1.0,110101816223
1.0,110101835564
1.0,110101918860
1.0,110101973922
1.0,110102235466
1.0,110102312727
1.0,110102416120
1.0,110102516928
1.0,110102614267
1.0,110102933862
1.0,110103035263
1.0,110103035469
1.0,110103116726
1.0,110103212628
1.0,110103218460
1.0,110103333069
1.0,110103812628
1.0,110103818960
1.0,110103912520
1.0,110103916626
1.0,110104016626
1.0,110104018069
1.0,110104133066
1.0,110104218563
1.0,110104235660
1.0,110104273527
1.0,110104373628
1.0,110104414061
1.0,110104418967
1.0,110104435969
1.0,110104473627
1.0,110104473827
1.0,110104614968
1.0,110104618865
1.0,110104716425
1.0,110104733865
1.0,110104735260
1.0,110104771527
1.0,110104773525
1.0,110104814969
1.0,110104833764
1.0,110104935566
1.0,110105014563
1.0,110105118266
1.0,110105233860
1.0,110105316125
1.0,110105333860
1.0,110105335269
1.0,110105373320
1.0,110105416428
1.0,110105518366
1.0,110105573420
1.0,110105718964
1.0,110106071225
1.0,110106216728
1.0,110106335160
1.0,110106416725
1.0,110106471023
1.0,110106471529
1.0,110106516721
1.0,110106516826
1.0,110106518361
1.0,110106616026
1.0,110106618865
1.0,110106633769
1.0,110106716223
1.0,110106918369
1.0,110106918564
1.0,110107018061
1.0,110107112062
1.0,110107216821
1.0,110107216921
1.0,110107318561
1.0,110107335462
1.0,110107416629
1.0,110107735669
1.0,110108133768
1.0,110108135666
1.0,110108214264
1.0,110108314369
1.0,110108318767
1.0,110108418660
1.0,110108473727
1.0,110108714166
1.0,110108716127
1.0,110108716227
1.0,110108873921
1.0,110108935161
1.0,110109012424
1.0,110109073624
1.0,110109073728
1.0,110109314261
1.0,110109314969
1.0,110109416122
1.0,110109418068
1.0,110109433767
1.0,110109512628
1.0,110109518765
1.0,110109616122
1.0,110109710123
1.0,110109816127
1.0,110109873021
1.0,110109935165
1.0,110120011361
1.0,110120035369
1.0,110120333763
1.0,110120418164
1.0,110120433764
1.0,110120614764
1.0,110120714469
1.0,110120735561
1.0,110121333760
1.0,110121333766
1.0,110122016328
1.0,110122333765
1.0,110122673028
1.0,110122835565
1.0,110124135460
1.0,110124335169
1.0,110124735466
1.0,110124935967
1.0,110125016029
1.0,110125473420
1.0,110125635565
1.0,110125635963
1.0,110126635161
1.0,110127135964
1.0,110127235468
1.0,110127735162
1.0,110127835261
1.0,110127933863
1.0,110128035268
1.0,110128135463
1.0,110128335465
1.0,110129635962
1.0,110129835560
1.0,110140073123
1.0,110140073922
1.0,110140716427
1.0,110140916327
1.0,110141173126
1.0,110141473828
1.0,110141873426
1.0,110141971029
1.0,110142273129
1.0,110142371223
1.0,110142571220
1.0,110142973320
1.0,110143271023
1.0,110143773828
1.0,110144473820
1.0,110145373920
1.0,110145971222
1.0,110146073329
1.0,110146816121
1.0,110147014329
1.0,110147116426
1.0,110147210324
1.0,110147214021
1.0,110147271229
1.0,110147516529
1.0,110147573122
1.0,110147573321
1.0,110147612820
1.0,110147771529
1.0,110148173524
