userid,firstType,daoshuType1,daoshuType2,daoshuType3
100000000013,1,6,1.0,1.0
100000000111,1,6,5.0,1.0
100000000127,1,7,7.0,5.0
100000000231,5,2,2.0,1.0
100000000379,1,1,6.0,5.0
100000000393,1,6,5.0,5.0
100000000423,1,1,5.0,4.0
100000000459,1,6,5.0,5.0
100000000465,1,1,1.0,9.0
100000000471,5,6,5.0,1.0
100000000637,1,6,5.0,1.0
100000000695,5,7,6.0,5.0
100000000745,1,1,1.0,1.0
100000000755,1,5,1.0,5.0
100000000867,1,7,6.0,5.0
100000000949,1,7,6.0,5.0
100000000975,1,6,5.0,4.0
100000001023,1,7,6.0,5.0
100000001195,1,5,5.0,1.0
100000001231,5,6,5.0,1.0
100000001295,1,7,6.0,5.0
100000001343,6,6,5.0,1.0
100000001505,1,7,6.0,5.0
100000001557,1,6,5.0,5.0
100000001683,1,7,6.0,5.0
100000001711,1,5,5.0,6.0
100000001803,1,5,1.0,5.0
100000001955,1,7,6.0,5.0
100000001963,1,6,5.0,5.0
100000002111,1,6,6.0,6.0
100000002165,1,1,,
100000002179,5,1,5.0,1.0
100000002199,1,6,5.0,1.0
100000002215,1,7,6.0,5.0
100000002243,1,5,5.0,1.0
100000002245,1,1,1.0,1.0
100000002271,1,5,3.0,3.0
100000002307,1,1,5.0,5.0
100000002363,1,1,1.0,1.0
100000002371,1,7,6.0,5.0
100000002535,1,4,1.0,4.0
100000002581,1,5,1.0,1.0
100000002653,5,5,5.0,
100000002811,1,1,1.0,1.0
100000002873,2,5,2.0,
100000002879,1,7,6.0,5.0
100000003091,1,6,6.0,5.0
100000003097,1,6,5.0,1.0
100000003311,1,1,5.0,5.0
100000003461,1,5,5.0,3.0
100000003483,1,5,1.0,1.0
100000003559,1,1,,
100000003611,1,6,5.0,1.0
100000003639,1,7,6.0,5.0
100000003685,1,6,5.0,6.0
100000003805,1,7,6.0,5.0
100000003875,1,7,5.0,5.0
100000003891,1,5,5.0,1.0
100000003941,5,1,5.0,5.0
100000004163,9,4,2.0,3.0
100000004223,1,1,,
100000004277,1,7,6.0,5.0
100000004297,1,6,6.0,6.0
100000004303,1,6,1.0,
100000004317,1,6,5.0,1.0
100000004319,1,7,6.0,5.0
100000004359,1,6,5.0,5.0
100000004429,1,5,5.0,1.0
100000004453,1,1,1.0,1.0
100000004529,1,5,1.0,6.0
100000004867,1,1,1.0,5.0
100000005007,1,5,1.0,1.0
100000005091,1,5,1.0,5.0
100000005125,1,1,1.0,5.0
100000005513,1,5,1.0,5.0
100000005649,1,6,5.0,6.0
100000005719,5,5,5.0,5.0
100000005739,1,7,6.0,5.0
100000005755,1,5,5.0,1.0
100000005805,1,5,1.0,
100000005955,1,1,1.0,1.0
100000006005,1,6,5.0,5.0
