userid,interval_mean,interval_var,interval_min,interval_lastvale1,interval_lastvale2,interval_lastvale3,interval_lastvale4,interval_last3_mean,interval_last3_var,first_interval
100000000013,203785.82,882996549105.1,2.0,240330.0,69377.0,180836.0,397436.0,163514.33,5020841436.22,10.0
100000000111,23.0,100.0,13.0,33.0,13.0,,,,,13.0
100000000127,1423919.8,2946154702501.76,46.0,3266886.0,3766778.0,46.0,85737.0,2344570.0,2790045061898.67,152.0
100000000231,412180.6,1064041146578.43,3.0,5.0,55.0,9781.0,12.0,3280.33,21129750.22,18.0
100000000379,361943.48,516113823305.91,2.0,242804.0,41.0,3.0,14800.0,80949.33,13098466801.56,186428.0
100000000393,173850.73,59023466363.87,3.0,306.0,4.0,24.0,972118.0,111.33,19014.22,52.0
100000000423,34866.48,405046324660.57,1.0,3689.0,17.0,160.0,3256.0,1288.67,2884208.22,610.0
100000000459,76675.83,36325174147.2,1.0,31.0,5.0,263.0,122.0,99.67,13451.56,510505.0
100000000465,427087.36,2523342858427.97,10.0,127082.0,40101.0,18.0,7196963.0,55733.67,2813066816.22,58.0
100000000471,1228413.52,29653333400112.34,2.0,24.0,17.0,38.0,89.0,26.33,76.22,32.0
100000000637,95929.92,126915387496.17,1.0,19.0,9.0,418.0,10.0,148.67,36286.89,114.0
100000000695,73791.5,68909251372.92,2.0,74.0,11.0,3.0,6.0,29.33,1008.22,10.0
100000000745,173224.45,394543942030.38,12.0,3545947.0,146796.0,122683.0,498.0,1271808.67,2585949485696.22,20.0
100000000755,232551.75,162175842042.19,4.0,76.0,930067.0,4.0,60.0,310049.0,192211161026.0,60.0
100000000867,51554.97,117908226917.85,2.0,67.0,11.0,49.0,9.0,42.33,544.89,13.0
100000000949,23671.84,2136073958.31,2.0,131.0,212.0,32.0,4658.0,125.0,5418.0,10.0
100000000975,128168.82,266530943338.29,2.0,8.0,29.0,28.0,26.0,21.67,93.56,12.0
100000001023,58373.53,38236688004.78,1.0,38.0,11.0,2935.0,541.0,994.67,1882568.22,10.0
100000001195,989121.5,804986681310.25,91911.0,91911.0,1886332.0,,,,,1886332.0
100000001231,690129.44,2360035430229.95,1.0,40.0,12.0,2266693.0,10.0,755581.67,1141728730994.89,1607512.0
100000001295,425895.16,2243608396140.45,2.0,13.0,38.0,49.0,20769.0,33.33,226.89,11.0
100000001343,3686.86,127395612.41,5.0,30.0,9.0,5749.0,34.0,1929.33,7295000.22,38.0
100000001505,161678.67,673492802066.79,2.0,113.0,24.0,590.0,227818.0,242.33,61756.22,2164794.0
100000001557,157443.05,442805013216.71,3.0,235.0,105.0,10.0,15323.0,116.67,8505.56,32.0
100000001683,604663.04,2568199760753.12,4.0,13.0,151.0,8.0,1231.0,57.33,4390.89,2530030.0
100000001711,115402.83,280237179566.71,1.0,3.0,270900.0,44.0,602.0,90315.67,16305351002.89,22.0
100000001803,1716873.8,17838167300538.29,2.0,9.0,17170936.0,196.0,1586963.0,5723713.67,65519449580210.88,5.0
100000001955,12990.48,2231219082.49,2.0,52.0,41.0,568.0,59951.0,220.33,60456.22,236113.0
100000001963,95.33,4264.22,8.0,165.0,8.0,113.0,,95.33,4264.22,113.0
100000002111,30602.65,5227578434.15,2.0,200.0,177.0,15.0,125.0,130.67,6777.56,8.0
100000002165,,,,,,,,,,
100000002179,348257.53,449374828275.31,2.0,11175.0,26.0,505499.0,23.0,172233.33,55553718989.56,6.0
100000002199,221131.81,567170791636.99,3.0,25.0,39.0,1109227.0,1402.0,369763.67,273403010704.89,7.0
100000002215,472597.54,3033726617097.22,3.0,4111.0,16.0,3.0,637.0,1376.67,3738317.56,543421.0
100000002243,577679.98,2388972412948.64,3.0,81.0,44.0,579036.0,254.0,193053.67,74491181050.89,7.0
100000002245,129372.27,65728815038.46,8.0,36699.0,176138.0,175653.0,8.0,129496.67,4305742673.56,12.0
100000002271,721303.9,2477151873392.09,13.0,37.0,38.0,64.0,57.0,46.33,156.22,5014566.0
100000002307,269968.29,174973470249.35,7.0,1023333.0,1371.0,7.0,35103.0,341570.33,232400476912.89,828582.0
100000002363,782188.45,1217045827294.98,7.0,662366.0,280921.0,192300.0,740881.0,378529.0,41590668224.67,2019067.0
100000002371,127890.75,243658173147.65,2.0,21.0,36.0,3.0,7.0,20.0,182.0,8.0
100000002535,208637.22,804474265149.03,1.0,110.0,88410.0,17.0,26.0,29512.33,1734469010.89,73.0
100000002581,788810.8,984906557132.56,6.0,2470044.0,85737.0,1388228.0,39.0,1314669.67,950192059242.89,6.0
100000002653,,,267350.0,267350.0,,,,,,267350.0
100000002811,372319.85,1769069184611.71,5.0,43997.0,1294.0,79516.0,60458.0,41602.33,1022647428.22,12.0
100000002873,,,6.0,6.0,,,,,,6.0
100000002879,635357.13,2424044505333.26,1.0,106.0,172.0,148.0,556900.0,142.0,744.0,85811.0
100000003091,592186.31,1528256918746.6,4.0,40.0,25.0,24.0,356383.0,29.67,53.56,358136.0
100000003097,434131.25,2292643599952.94,2.0,119.0,10.0,890890.0,7.0,297006.33,176348906746.89,17.0
100000003311,176880.73,668684638689.68,1.0,625116.0,8.0,2269.0,246511.0,209131.0,86522612132.67,165.0
100000003461,280244.41,716909812658.58,6.0,190.0,125.0,103.0,80.0,139.33,1364.22,345.0
100000003483,1656091.09,26585818637284.45,7.0,17.0,17959802.0,241459.0,22.0,6067092.67,70727983350137.55,15143.0
100000003559,,,,,,,,,,
100000003611,6038.67,173154810.89,9.0,15.0,9.0,35458.0,669.0,11827.33,279204209.56,62.0
100000003639,416571.14,683754444632.84,5.0,26.0,399.0,25.0,57.0,150.0,31000.67,345.0
100000003685,43311.65,14486606745.45,1.0,21.0,56.0,21.0,18.0,32.67,272.22,81.0
100000003805,474018.06,3516881539683.35,9.0,34.0,119.0,22259.0,25.0,7470.67,109348605.56,25.0
100000003875,277791.5,189028421652.65,15.0,44588.0,62.0,15.0,1337534.0,14888.33,441035468.22,850772.0
100000003891,111280.2,120610401646.46,2.0,2.0,7.0,1593358.0,180509.0,531122.33,564172305773.56,11513.0
100000003941,985371.12,5362219481186.61,4.0,7102839.0,3417.0,64.0,246938.0,2368773.33,11205690741924.22,4.0
100000004163,148337.74,121403350225.16,7.0,12.0,116.0,11.0,427579.0,46.33,2426.89,90.0
100000004223,,,,,,,,,,
100000004277,178585.78,1648134404000.93,1.0,93.0,52.0,8.0,2048.0,51.0,1204.67,14116205.0
100000004297,140635.41,204110292986.09,1.0,14.0,14.0,25.0,17.0,17.67,26.89,76978.0
100000004303,,,10580184.0,10580184.0,,,,,,10580184.0
100000004317,196144.52,258145160685.37,2.0,311.0,5.0,834970.0,186401.0,278428.67,154869143460.22,10.0
100000004319,401575.32,1052651404764.15,2.0,17.0,131.0,104.0,10.0,84.0,2366.0,923.0
100000004359,86244.18,30807792732.73,2.0,153.0,70840.0,76.0,14.0,23689.67,1111577954.89,27.0
100000004429,155827.28,761912816391.77,2.0,2.0,4.0,577948.0,36.0,192651.33,74226760672.89,246.0
100000004453,101006.74,35971987954.0,5.0,341159.0,480690.0,172800.0,19.0,331549.67,15845544993.56,17.0
100000004529,1100397.76,13210771850436.1,8.0,14.0,11873981.0,13.0,29.0,3958002.67,31331356486901.56,12.0
100000004867,179552.1,789276511209.62,3.0,593372.0,192.0,22.0,235619.0,197862.0,78214084866.67,29.0
100000005007,72388.52,112791713012.36,1.0,103.0,171442.0,62810.0,73.0,78118.33,5010014688.22,5.0
100000005091,41045.9,7411366442.74,1.0,39.0,86352.0,124.0,259085.0,28838.33,1653912130.89,86.0
100000005125,417961.67,1200680152013.82,4.0,583.0,140.0,65.0,6.0,262.67,52244.22,542.0
100000005513,422392.46,2000406876241.47,2.0,61.0,3970133.0,31.0,39.0,1323408.33,3502575730720.89,61.0
100000005649,119570.27,350907289342.2,3.0,17.0,564.0,23.0,76.0,201.33,65769.56,103.0
100000005719,88992.0,35478831895.5,2.0,138554.0,95.0,572704.0,123.0,237117.67,59504242673.56,64.0
100000005739,16041.52,3330242337.96,4.0,85.0,76.0,8.0,459.0,56.33,1181.56,57.0
100000005755,338103.91,2575014863900.64,3.0,87.0,132.0,1915078.0,37863.0,638432.33,814912079446.89,984336.0
100000005805,,,312.0,312.0,,,,,,312.0
100000005955,404207.33,623598502429.22,109.0,2164408.0,178955.0,71424.0,10204.0,804929.0,926018728380.67,144.0
100000006005,320848.59,3580024774424.16,2.0,292.0,949.0,2.0,13.0,414.33,156950.89,8.0
100000006013,198696.94,491566182529.05,9.0,12.0,131.0,705.0,154.0,282.67,91542.89,30.0
100000006081,225240.46,726231934798.34,4.0,446.0,42.0,5.0,70.0,164.33,39896.22,273947.0
100000006123,238302.7,223759601734.81,29.0,3227.0,58288.0,61.0,384.0,20525.33,714680089.56,926802.0
100000006395,865217.17,2353784403906.47,3.0,31.0,81.0,1514.0,91.0,542.0,472808.67,3234390.0
100000006487,528525.39,1209986985650.47,1.0,814077.0,117207.0,184144.0,1762.0,371809.33,98547104817.56,46106.0
100000006539,28659.19,8392781681.92,3.0,22.0,321.0,526.0,75.0,289.67,42826.89,70.0
100000006569,773457.94,3292472119436.18,1.0,146.0,9.0,59.0,11.0,71.33,3204.22,2185.0
100000006605,1330535.67,6929539595483.29,9.0,24.0,186.0,75.0,5766.0,95.0,4574.0,722678.0
100000006647,410319.66,1388543345177.64,3.0,49.0,13.0,692830.0,1187634.0,230964.0,106660101194.0,18.0
100000006857,799796.49,6176955641972.25,2.0,296868.0,33.0,19.0,60.0,98973.33,19581149580.22,42.0
100000006933,113719.0,163573556678.71,1.0,34.0,1.0,32.0,175.0,22.33,228.22,1571911.0
100000006981,111672.15,100042030429.15,1.0,29.0,203.0,5.0,879907.0,79.0,7784.0,10.0
100000007073,927507.42,5408892004301.61,16.0,113.0,3504.0,28.0,16.0,1215.0,2620964.67,9902437.0
100000007079,456920.26,2092463981127.76,1.0,29.0,273.0,5.0,32940.0,102.33,14659.56,282226.0
100000007283,400.0,123038.0,10.0,444.0,10.0,946.0,200.0,466.67,146272.89,200.0
100000007329,49110.29,14428332379.63,12.0,90.0,17.0,343338.0,26.0,114481.67,26187611541.56,12.0
100000007367,,,604.0,604.0,,,,,,604.0
100000007409,70776.09,158112719218.04,1.0,69.0,8577.0,1.0,801.0,2882.33,16215384.89,26414.0
100000007457,234.0,8538.0,141.0,201.0,360.0,141.0,,234.0,8538.0,141.0
100000007533,84200.62,24796991136.73,9.0,94.0,82.0,2307.0,9.0,827.67,1094237.56,18.0
100000007609,567874.58,1972407355464.0,12.0,69942.0,4851.0,251270.0,293823.0,108687.67,10871000602.89,12.0
100000007639,1395134.71,9409385758207.73,2.0,292866.0,73089.0,5431.0,150.0,123795.33,15055379324.22,8.0
100000007745,,,,,,,,,,
100000007753,144348.11,167883727911.99,2.0,19982.0,165.0,2.0,390.0,6716.33,87993384.22,13.0
100000007785,111372.01,700659583914.03,2.0,256499.0,16705.0,9.0,9.0,91071.0,13729670994.67,6.0
100000008119,264250.34,630337170113.03,3.0,16.0,72.0,727145.0,33660.0,242411.0,117483525900.67,552572.0
