userid,orderHistory_1_rate,keywords_good1_bad0
100000000013,0.0,0.0
100000000111,,
100000000127,,
100000000231,,1.0
100000000379,,
100000000393,0.0,
100000000423,,
100000000459,0.0,
100000000465,,
100000000471,,1.0
100000000637,0.0,1.0
100000000695,0.0,
100000000745,,
100000000755,,0.0
100000000867,,
100000000949,0.0,1.0
100000000975,0.0,
100000001023,0.3333333333333333,1.0
100000001195,,
100000001231,0.0,1.0
100000001295,0.0,
100000001343,,
100000001505,0.8,1.0
100000001557,,0.0
100000001683,,
100000001711,,1.0
100000001803,,
100000001955,0.0,1.0
100000001963,,
100000002111,,
100000002165,,1.0
100000002179,,
100000002199,,1.0
100000002215,,
100000002243,,1.0
100000002245,,1.0
100000002271,,
100000002307,,
100000002363,,
100000002371,0.0,1.0
100000002535,,
100000002581,,
100000002653,,
100000002811,,
100000002873,,
100000002879,,
100000003091,,
100000003097,0.0,
100000003311,,
100000003461,1.0,
100000003483,,
100000003559,,
100000003611,,
100000003639,0.0,1.0
100000003685,,0.0
100000003805,0.0,
100000003875,,
100000003891,,1.0
100000003941,,
100000004163,,
100000004223,,
100000004277,0.0,
100000004297,0.0,0.0
100000004303,,
100000004317,0.0,1.0
100000004319,,
100000004359,,
100000004429,,
100000004453,,
100000004529,,
100000004867,,1.0
100000005007,0.5,1.0
100000005091,,
100000005125,,1.0
100000005513,,
100000005649,,
100000005719,,
100000005739,,
100000005755,,
100000005805,,
100000005955,,
100000006005,,
100000006013,,
100000006081,,
100000006123,,
100000006395,,
100000006487,,
100000006539,,
100000006569,,
100000006605,,
100000006647,,
100000006857,,1.0
100000006933,,
100000006981,0.0,1.0
100000007073,,1.0
100000007079,,
100000007283,,
100000007329,,
100000007367,,
100000007409,,
100000007457,,
100000007533,,
100000007609,,1.0
100000007639,,
100000007745,,
100000007753,,
100000007785,,
100000008119,0.5,1.0
100000008253,,1.0
100000008425,0.0,
100000008481,,
100000008483,,0.0
100000008529,,
100000008565,,
100000008995,0.0,1.0
100000009017,0.6666666666666666,1.0
100000009249,,1.0
100000009417,,
100000009463,0.0,1.0
100000009481,,
100000009491,,
100000009583,,0.0
100000009611,0.0,1.0
100000009743,,
100000009771,,
100000009773,1.0,1.0
100000009807,,
100000009925,0.3333333333333333,
100000010101,,
100000010161,0.0,
100000010177,,
100000010199,1.0,1.0
100000010239,,
100000010247,,
100000010249,,
100000010279,,1.0
100000010287,,
100000010293,,
100000010297,,1.0
100000011105,,
100000011131,,
100000011325,0.0,1.0
100000011427,,
100000011573,,
100000011591,,
100000011653,,1.0
100000011741,,
100000011755,,
100000011763,0.0,1.0
100000011845,,1.0
100000011933,0.0,
100000012027,,1.0
100000012133,,
100000012137,,1.0
100000012213,0.0,
100000012219,,1.0
100000012235,,
100000012277,,
100000012341,,
100000012367,,
100000012405,,1.0
100000012441,,
100000012507,,
100000012713,,
100000012715,0.0,
100000012717,,
100000012719,,
100000012793,,
100000012867,,
100000012885,,
100000012889,0.0,
100000012931,0.0,1.0
100000012965,0.0,1.0
100000012981,,
100000013027,,
100000013381,0.0,1.0
100000013429,,1.0
100000013461,,
100000013471,0.0,
100000013499,0.0,
100000013669,,
100000013673,0.0,
100000013837,0.0,1.0
100000013965,,1.0
100000014029,1.0,
100000014143,,
100000014259,0.0,1.0
100000014271,0.0,1.0
100000014311,,
100000014315,,1.0
100000014383,0.0,1.0
100000014421,0.0,
100000014423,,
100000014449,,
100000014641,,
100000014679,0.0,1.0
100000014745,,
100000014865,,
100000014899,,
100000014949,,
100000014973,0.0,1.0
100000014981,0.0,1.0
