if_exist_rate_largerthan_2,userid
1.0,100000000013
1.0,100000000231
1.0,100000000471
1.0,100000000637
1.0,100000000949
1.0,100000001023
1.0,100000001231
1.0,100000001505
1.0,100000001557
1.0,100000001711
1.0,100000001955
1.0,100000002165
1.0,100000002199
1.0,100000002243
1.0,100000002245
1.0,100000002371
1.0,100000003639
1.0,100000003685
1.0,100000003891
1.0,100000004297
1.0,100000004317
1.0,100000004867
1.0,100000005007
1.0,100000005125
1.0,100000006857
1.0,100000006981
1.0,100000007073
1.0,100000007609
1.0,100000008119
1.0,100000008253
1.0,100000008483
1.0,100000008995
1.0,100000009017
1.0,100000009249
1.0,100000009463
1.0,100000009611
1.0,100000009773
1.0,100000010199
1.0,100000010279
1.0,100000010297
1.0,100000011325
1.0,100000011653
1.0,100000011763
1.0,100000011845
1.0,100000012027
1.0,100000012137
1.0,100000012219
1.0,100000012405
1.0,100000012931
1.0,100000012965
1.0,100000013381
1.0,100000013429
1.0,100000013837
1.0,100000013965
1.0,100000014259
1.0,100000014271
1.0,100000014315
1.0,100000014383
1.0,100000014679
1.0,100000014973
1.0,100000014981
1.0,100000015129
1.0,100000015223
1.0,100000015475
1.0,100000015791
1.0,100000015969
1.0,100000016219
1.0,100000016265
1.0,100000016341
1.0,100000016831
1.0,100000016861
1.0,100000017277
1.0,100000017367
1.0,100000017965
1.0,100000018117
1.0,100000018259
1.0,100000018629
1.0,100000018905
1.0,100000019251
1.0,100000019375
1.0,100000019487
1.0,100000019489
1.0,100000019507
1.0,100000019641
1.0,100000019697
1.0,100000019829
1.0,100000020007
1.0,100000020017
1.0,100000020213
1.0,100000020393
1.0,100000020459
1.0,100000020809
1.0,100000020811
1.0,100000021111
1.0,100000021175
1.0,100000021395
1.0,100000021453
1.0,100000021659
1.0,100000022129
1.0,100000022335
1.0,100000022481
1.0,100000022571
1.0,100000022651
1.0,100000022761
1.0,100000022801
1.0,100000022931
1.0,100000023443
1.0,100000023915
1.0,110020371225
1.0,110020673328
1.0,110100014369
1.0,110100016828
1.0,110100018468
1.0,110100116423
1.0,110100135562
1.0,110100171021
1.0,110100173725
1.0,110100218568
1.0,110100273229
1.0,110100273825
1.0,110100318867
1.0,110100333066
1.0,110100333868
1.0,110100335665
1.0,110100418369
1.0,110100471223
1.0,110100512625
1.0,110100512728
1.0,110100514164
1.0,110100516727
1.0,110100516927
1.0,110100518264
1.0,110100518665
1.0,110100573022
1.0,110100573527
1.0,110100614366
1.0,110100618264
1.0,110100633862
1.0,110100712727
1.0,110100735566
1.0,110100773229
1.0,110100816923
1.0,110100818564
1.0,110100818565
1.0,110100835863
1.0,110100935462
1.0,110101014163
1.0,110101016424
1.0,110101016824
1.0,110101018565
1.0,110101018862
1.0,110101073020
1.0,110101073129
1.0,110101073528
1.0,110101112925
1.0,110101114365
1.0,110101118767
1.0,110101118860
1.0,110101173321
1.0,110101173327
1.0,110101173728
1.0,110101210169
1.0,110101210461
1.0,110101212820
1.0,110101212927
1.0,110101216163
1.0,110101216425
1.0,110101216628
1.0,110101217229
1.0,110101217621
1.0,110101235761
1.0,110101273028
1.0,110101273529
1.0,110101273620
1.0,110101312828
1.0,110101333767
1.0,110101373529
1.0,110101410923
1.0,110101414569
1.0,110101416126
1.0,110101416320
1.0,110101416823
1.0,110101416924
1.0,110101435960
1.0,110101471028
1.0,110101473121
1.0,110101473429
1.0,110101512325
1.0,110101514562
1.0,110101516321
1.0,110101518268
1.0,110101518767
1.0,110101535067
1.0,110101535960
1.0,110101571523
1.0,110101610321
1.0,110101612364
1.0,110101612421
1.0,110101612425
1.0,110101614364
1.0,110101615825
1.0,110101616129
1.0,110101616464
1.0,110101616522
1.0,110101616528
1.0,110101616663
1.0,110101617728
1.0,110101635063
1.0,110101710127
1.0,110101710128
1.0,110101714169
1.0,110101714560
1.0,110101718169
1.0,110101733868
1.0,110101735766
1.0,110101773227
1.0,110101810167
1.0,110101812321
1.0,110101814067
1.0,110101814967
1.0,110101816027
1.0,110101816420
1.0,110101912822
1.0,110101916723
1.0,110101935266
1.0,110101973024
1.0,110102012123
1.0,110102016429
1.0,110102112420
1.0,110102116724
1.0,110102173926
1.0,110102212724
1.0,110102235466
1.0,110102333864
1.0,110102335262
1.0,110102373022
1.0,110102373628
1.0,110102416120
1.0,110102416820
1.0,110102416920
1.0,110102471529
1.0,110102516029
1.0,110102516928
1.0,110102573423
1.0,110102614267
1.0,110102614369
1.0,110102635664
1.0,110102673920
1.0,110102716828
1.0,110102718168
1.0,110102718666
1.0,110102733061
1.0,110102735661
1.0,110102771220
1.0,110102773026
1.0,110102773628
1.0,110102773720
1.0,110102773820
1.0,110102816326
1.0,110102833063
1.0,110102873229
1.0,110102912724
1.0,110102912923
1.0,110102916021
1.0,110102973524
1.0,110102973622
1.0,110103012626
