userid,order_day_mean,day_after_lastorder
100000000013,161.0,14
100000000393,11.0,65
100000000459,32.0,0
100000000637,45.0,0
100000000695,25.0,2
100000000949,4.0,1
100000000975,58.0,25
100000001023,57.67,87
100000001231,57.0,215
100000001295,112.0,54
100000001505,48.33,3
100000001955,4.0,1
100000002371,26.5,18
100000003097,17.0,17
100000003461,1.0,128
100000003639,68.5,0
100000003805,94.0,0
100000004277,174.0,79
100000004297,45.0,0
100000004317,154.0,10
100000005007,73.5,7
100000006981,19.0,11
100000008119,37.0,11
100000008425,1.0,42
100000008995,27.0,9
100000009017,49.0,1
100000009463,5.0,2
100000009611,61.0,76
100000009773,65.0,101
100000009925,93.5,0
100000010161,70.33,1
100000010199,69.25,0
100000011325,1.0,0
100000011763,2.0,0
100000011933,22.0,50
100000012213,7.0,0
100000012715,26.0,156
100000012889,8.0,1
100000012931,229.0,15
100000012965,1.0,3
100000013381,1.0,9
100000013471,1.5,108
100000013499,11.0,2
100000013673,1.0,1
100000013837,3.0,0
100000014029,32.0,1
100000014259,213.0,1
100000014271,69.0,6
100000014383,58.0,40
100000014421,119.5,0
100000014679,154.0,22
100000014973,4.0,7
100000014981,5.5,5
100000015223,171.0,34
100000015475,6.0,0
100000015969,5.75,2
100000016265,8.25,0
100000016341,76.0,0
100000016831,15.5,0
100000016861,79.0,1
100000017177,130.0,9
100000017277,29.89,1
100000017281,206.0,0
100000017465,2.0,1
100000018097,1.0,0
100000018123,1.0,0
100000018259,64.0,3
100000018979,32.0,7
100000019251,113.0,7
100000019487,170.0,0
100000019489,13.0,0
100000019507,37.5,67
100000020061,256.0,1
100000020277,84.0,2
100000020301,80.5,0
100000020459,1.0,115
100000020811,110.5,57
100000021111,11.0,0
100000021395,1.0,0
100000021427,1.0,15
100000021553,183.0,0
100000021759,141.0,1
100000022129,54.0,110
100000022335,1.0,23
100000022417,98.0,51
100000022481,2.0,63
100000022499,306.0,1
100000022571,38.5,2
100000022677,13.0,0
100000022761,14.0,2
100000022801,3.5,3
100000023051,4.0,1
110020473123,144.0,0
110020673328,19.0,2
110020773124,37.0,12
110100014369,1.0,58
110100016324,2.0,0
110100016726,2.0,0
110100016828,14.0,1
110100018468,7.5,1
110100033067,8.0,0
110100073827,9.0,0
110100116423,1.0,0
110100118669,2.5,8
110100135162,4.0,1
110100135562,2.0,0
110100171021,4.5,0
110100173725,6.0,19
110100218568,8.0,10
110100273229,4.67,0
110100273825,1.0,4
110100318867,1.0,0
110100333066,22.0,40
110100333868,1.0,1
110100335665,3.0,9
110100418369,7.0,62
110100473027,1.0,0
110100473524,1.0,4
110100512625,1.0,9
110100512728,2.0,0
110100514164,20.0,2
110100516323,1.0,0
110100516727,13.0,0
110100516927,12.0,7
110100518264,8.0,9
110100518265,1.0,0
110100518665,1.0,7
110100535669,4.33,0
110100573022,2.0,0
110100573527,10.0,9
110100614366,1.0,0
110100618264,14.0,0
110100618567,6.0,0
110100618863,28.0,0
110100633862,6.0,1
110100635661,3.0,54
110100635766,1.0,0
110100712727,4.0,2
110100735566,1.0,3
110100773229,1.0,30
110100816124,4.0,0
110100816923,1.0,0
110100818564,1.5,1
110100818565,7.67,1
110100818965,7.0,2
110100835863,2.0,1
110100873926,7.0,0
110100935462,2.0,1
110101012725,22.0,1
110101014163,1.0,83
110101016424,1.0,3
110101016528,1.0,141
110101016824,5.0,57
110101018269,4.0,1
110101018565,13.33,0
110101018862,4.5,0
110101073020,14.0,6
110101073129,3.0,2
110101073528,35.0,3
110101073823,44.0,0
110101112925,1.0,0
110101114268,75.0,0
110101114365,47.0,36
110101118767,23.5,1
110101118860,23.5,3
110101135461,60.0,62
110101173321,1.0,29
110101173324,32.5,0
110101173327,3.0,0
110101173728,3.5,25
110101210025,21.5,0
110101210169,46.0,29
110101210461,15.5,21
110101212568,20.0,3
110101212820,66.0,5
110101212927,64.0,6
110101214466,11.0,1
110101214769,46.0,0
110101216163,65.0,2
110101216425,6.5,0
110101216628,35.0,5
110101217229,20.0,7
110101217621,18.0,0
110101235165,61.0,23
110101235363,13.0,0
110101235761,1.0,136
110101235966,2.0,1
110101273028,37.0,14
110101273529,14.0,2
110101273620,10.67,0
110101273922,26.0,1
110101312724,1.0,39
110101312828,1.0,5
110101314368,25.0,11
110101333767,22.0,0
110101335867,1.0,0
110101373220,33.0,1
110101373529,1.0,9
110101373824,22.67,5
110101410726,18.0,3
110101410923,30.33,1
110101412525,3.0,0
110101412724,1.0,1
110101414569,1.0,0
110101416126,4.0,5
110101416320,53.0,0
110101416823,13.0,30
110101416924,2.0,0
110101435960,10.5,34
110101471220,1.0,1
110101473429,22.0,1
110101512325,3.0,1
110101514562,8.0,0
110101516321,14.5,65
110101518268,28.0,0
110101518665,1.0,0
110101518767,16.0,6
110101535067,3.0,0
110101535960,1.5,0
110101571523,78.0,2
110101573228,4.0,3
110101573520,20.0,0
110101610321,24.0,64
110101612223,1.0,43
110101612364,6.0,26
110101612421,1.0,0
110101612425,1.0,54
110101614364,7.0,1
110101615825,1.0,0
110101616128,38.0,1
110101616129,8.0,4
