userid,order_time_interval_firstvale,order_time_interval_lastvale1,order_time_interval_lastvale2,order_time_interval_lastvale3,order_time_interval_mean,order_time_interval_var,order_time_interval_min,order_time_interval_max
100000000013,7413763,1278697,20245127,7413763,9645862.33333,6.24453782078e+13,6.24453782078e+13,20245127
100000000393,881169,5551308,881169,nan,3216238.5,5.45254956983e+12,5.45254956983e+12,5551308
100000000459,3912086,277,1454945,3912086,1789102.66667,2.60620561518e+12,2.60620561518e+12,3912086
100000000637,3834710,2487,3834710,nan,1918598.5,3.67148328043e+12,3.67148328043e+12,3834710
100000000695,2093605,120140,2093605,nan,1106872.5,973641026556.0,973641026556.0,2093605
100000000949,122612,169271,359173,414177,266308.25,15138467292.7,15138467292.7,414177
100000000975,4917254,2260200,4917254,nan,3588727.0,1.76498398973e+12,1.76498398973e+12,4917254
100000001023,9109743,7534523,3690377,3014770,3335630.42857,1.20827374895e+13,1.20827374895e+13,9109743
100000001231,4877096,18587305,4877096,nan,11732200.5,4.69924577059e+13,4.69924577059e+13,18587305
100000001295,9588341,6595675,9588341,nan,8092008.0,2.23901244689e+12,2.23901244689e+12,9588341
100000001505,12258369,238422,407574,3407,2155715.66667,2.0434745418e+13,2.0434745418e+13,12258369
100000001955,236564,86773,728,697,81190.5,9281376564.25,9281376564.25,236564
100000002371,127,1626378,4446742,975,1227751.2,2.97718407437e+12,2.97718407437e+12,4446742
100000003097,1451607,8967543,1451607,nan,5209575.0,1.4122323489e+13,1.4122323489e+13,8967543
100000003461,39072,11450949,39072,nan,5745010.5,3.25577341658e+13,3.25577341658e+13,11450949
100000003639,3805809,451,7857732,3805809,3887997.33333,1.02928549132e+13,1.02928549132e+13,7857732
100000003805,8035895,22412,8035895,nan,4029153.5,1.60539774478e+13,1.60539774478e+13,8035895
100000004277,14944636,6842829,14944636,nan,10893732.5,1.64098191663e+13,1.64098191663e+13,14944636
100000004297,3756926,40230,3756926,nan,1898578.0,3.4534572891e+12,3.4534572891e+12,3756926
100000004317,13295946,1022604,13295946,nan,7159275.0,3.76587309622e+13,3.76587309622e+13,13295946
100000005007,6297677,788847,6377740,6297677,4488088.0,6.84326033537e+12,6.84326033537e+12,6377740
100000006981,1961041,910904,1897843,1148836,1479656.0,209883148775.0,209883148775.0,1961041
100000008119,6161452,936897,2150413,6161452,3082920.66667,4.9841144322e+12,4.9841144322e+12,6161452
100000008995,2236822,958451,2236822,nan,1597636.5,408558103410.0,408558103410.0,2236822
100000009017,3937960,84712,225,5193160,2304014.25,5.31242231599e+12,5.31242231599e+12,5193160
