userid,to_firstorder_timestamp,to_lastorder_timestamp
100000000013,21523824,1278697
100000000393,5551308,5551308
100000000459,1455222,277
100000000637,2487,2487
100000000695,120140,120140
100000000949,942621,169271
100000000975,2260200,2260200
100000001023,14239670,7534523
100000001231,18587305,18587305
100000001295,6595675,6595675
100000001505,675925,238422
100000001955,88198,86773
100000002371,6138629,1626378
100000003097,8967543,8967543
100000003461,11450949,11450949
100000003639,7858183,451
100000003805,22412,22412
100000004277,6842829,6842829
100000004297,40230,40230
100000004317,1022604,1022604
100000005007,7166587,788847
100000006981,3957583,910904
100000008119,3087310,936897
100000008425,20233907,3632669
100000008995,958451,958451
100000009017,5278097,84712
100000009463,170980,170980
100000009611,7077947,6639695
100000009773,8671537,8671537
100000009925,154378,63582
100000010161,19441200,664185
100000010199,18984332,1631
100000011325,13677,298
100000011763,4680,4680
100000011933,4260614,4260614
100000012213,10063,275
100000012715,14088248,14088248
100000012889,103243,103243
100000012931,1277021,1277021
100000012965,273713,273713
100000013381,908966,908966
100000013471,10244825,9897328
100000013499,170895,170895
100000013673,344622,344622
100000013837,1950,1561
100000014029,70078,70078
100000014259,129750,129619
100000014271,861756,861756
100000014383,4555999,3463180
100000014421,17553847,14729
100000014679,1834463,1832751
100000014973,967278,967278
100000014981,1237693,426407
100000015223,2931865,2931865
100000015475,59,59
100000015969,887751,172063
100000016265,15798626,32931
100000016341,21806231,13497
100000016831,795337,189
100000016861,5325555,99088
100000017177,704362,704362
100000017277,23598909,157304
100000017281,208,208
100000017465,5633,5633
100000018097,286,286
100000018123,707,707
100000018259,247846,247846
100000018979,596861,596861
100000019251,619630,619630
100000019487,43226,63
100000019489,288,288
100000019507,7956920,5797295
100000020061,45941,33896
100000020277,1282064,1282064
100000020301,1380301,143
100000020459,9881938,9881938
100000020811,8593375,5285969
100000021111,674335,298
100000021395,519,519
100000021427,1474468,1474468
100000021553,32,32
100000021759,701831,701831
100000022129,10764212,10763874
100000022335,2144232,2142643
100000022417,4639317,4639317
100000022481,5769022,5769022
100000022499,125960,125960
100000022571,1952611,100103
100000022677,2469,2469
100000022761,260069,260069
100000022801,488052,395026
100000023051,77021,77021
110020473123,24717130,7064
110020673328,208377,208377
110020773124,1135295,1135295
110100014369,4996300,4943852
110100016324,2810,216
110100016726,603,603
110100016828,31297,31297
110100018468,1567257,344882
110100033067,99637,5244
110100073827,4687,4687
110100116423,204,204
110100118669,757102,683603
110100135162,90887,90887
110100135562,111,111
110100171021,672341,455
110100173725,1740482,1740482
110100218568,863304,863304
110100273229,908257,1370
110100273825,344017,344017
110100318867,1,1
110100333066,3555968,3555734
110100333868,331347,88921
110100335665,761491,761491
110100418369,5358893,5358893
110100473027,267,267
110100473524,421490,337730
110100512625,908727,908727
110100512728,1684,1684
110100514164,157398,157398
110100516323,476,476
110100516727,82718,82718
110100516927,729650,729650
110100518264,768904,768904
110100518265,1568,215
110100518665,778521,778521
110100535669,869441,282
110100573022,1265,1265
110100573527,785754,785754
110100614366,341,341
110100618264,368,31
110100618567,8059,316
110100618863,4723958,1412
110100633862,150755,84561
110100635661,4712808,4712808
110100635766,630,630
110100712727,1167338,179750
110100735566,223695,223695
110100773229,2574606,2574606
110100816124,244,244
110100816923,116,116
110100818564,344603,164765
110100818565,3020037,79170
110100818965,127189,127189
110100835863,271480,18234
110100873926,4530,4530
110100935462,281055,4529
110101012725,171874,171874
110101014163,7205067,7205067
110101016424,241019,241019
110101016528,12125132,12125132
110101016824,4930526,4930526
110101018269,602293,602293
110101018565,3346217,7608
110101018862,349010,34743
110101073020,511644,511644
110101073129,240664,240664
110101073528,584314,584314
110101073823,1089,1089
110101112925,499,499
110101114268,902,902
110101114365,3114306,3113378
110101118767,4127822,121086
110101118860,6676867,193083
110101135461,5379763,5379763
110101173321,2470335,2470335
110101173324,3197427,326
110101173327,307,307
110101173728,2624137,2223286
110101210025,959435,2346
110101210169,2610754,2610754
110101210461,4224748,1751840
110101212568,297635,297635
110101212820,7168234,377333
110101212927,451855,451855
110101214466,850627,850627
110101214769,296,296
110101216163,182265,182265
110101216425,81647,44
110101216628,12348608,424855
110101217229,883362,883362
110101217621,326968,2239
110101235165,1992227,1992227
110101235363,645,645
110101235761,11750734,11748391
110101235966,861554,861554
110101273028,1270010,1270010
110101273529,264685,154115
110101273620,1277169,61600
110101273922,15993,15993
110101312724,3374214,3374214
110101312828,557788,557788
110101314368,987968,987968
110101333767,681,351
110101335867,1876,546
110101373220,9001,9001
110101373529,712388,704013
110101373824,9271081,3409360
110101410726,639610,639610
110101410923,3565589,166269
110101412525,89,89
110101412724,804673,804673
110101414569,10219,10219
110101416126,786984,401259
110101416320,124,124
110101416823,2537809,2537809
110101416924,2848,2170
110101435960,5512011,2942860
110101471220,76529,76529
110101473429,3295025,131215
110101512325,372236,372236
110101514562,696,696
110101516321,5848596,5609659
110101518268,610732,410
110101518665,3086,3086
110101518767,623497,623497
110101535067,167025,1092
110101535960,98805,48
110101571523,299164,299164
110101573228,275693,275693
110101573520,3169649,339
110101610321,5466423,5466423
110101612223,4475383,4475383
110101612364,2363719,2363719
110101612421,5165,5165
