userid,user_purchase_orderType01_times
100000000013,2
100000000393,1
100000000459,2
100000000637,1
100000000695,1
100000000949,3
100000000975,1
100000001023,6
100000001231,1
100000001295,1
100000001505,5
100000001955,3
100000002371,4
100000003097,1
100000003461,1
100000003639,2
100000003805,1
100000004277,1
100000004297,1
100000004317,1
100000005007,2
100000006981,3
100000008119,2
100000008425,2
100000008995,1
100000009017,3
100000009463,1
100000009611,2
100000009773,1
100000009925,6
100000010161,3
100000010199,8
100000011325,7
100000011763,1
100000011933,1
100000012213,2
100000012715,1
100000012889,1
100000012931,1
100000012965,1
100000013381,1
100000013471,2
100000013499,1
100000013673,1
100000013837,2
100000014029,1
100000014259,2
100000014271,1
100000014383,2
100000014421,3
100000014679,3
100000014973,1
100000014981,3
100000015223,1
100000015475,1
100000015969,4
100000016265,5
100000016341,4
100000016831,3
100000016861,3
100000017177,1
100000017277,10
100000017281,1
100000017465,1
100000018097,1
100000018123,1
100000018259,1
100000018979,1
100000019251,1
100000019487,12
100000019489,1
100000019507,2
100000020061,2
100000020277,1
100000020301,3
100000020459,1
100000020811,2
100000021111,3
100000021395,1
100000021427,1
100000021553,1
100000021759,1
100000022129,2
100000022335,2
100000022417,1
100000022481,1
100000022499,1
100000022571,3
100000022677,1
100000022761,1
100000022801,6
100000023051,1
110020473123,2
110020673328,1
110020773124,1
110100014369,3
110100016324,5
110100016726,1
110100016828,1
110100018468,2
110100033067,2
110100073827,1
110100116423,1
110100118669,2
110100135162,1
110100135562,1
110100171021,2
110100173725,1
110100218568,1
110100273229,6
110100273825,1
110100318867,1
110100333066,2
110100333868,2
110100335665,1
110100418369,1
110100473027,1
110100473524,3
110100512625,1
110100512728,1
110100514164,1
110100516323,1
110100516727,1
110100516927,1
110100518264,1
110100518265,2
110100518665,1
110100535669,3
110100573022,1
110100573527,1
110100614366,1
110100618264,4
110100618567,3
110100618863,2
110100633862,4
110100635661,1
110100635766,1
110100712727,5
110100735566,1
110100773229,1
110100816124,1
110100816923,1
110100818564,2
110100818565,3
110100818965,1
110100835863,3
110100873926,1
110100935462,3
110101012725,1
110101014163,1
110101016424,1
110101016528,1
110101016824,1
110101018269,1
110101018565,3
110101018862,2
110101073020,1
110101073129,1
110101073528,1
110101073823,1
110101112925,1
110101114268,1
110101114365,3
110101118767,3
110101118860,4
110101135461,1
110101173321,1
110101173324,4
110101173327,1
110101173728,2
110101210025,2
110101210169,1
110101210461,2
110101212568,1
110101212820,2
110101212927,1
110101214466,1
110101214769,1
110101216163,1
110101216425,4
110101216628,4
110101217229,1
110101217621,3
110101235165,1
110101235363,1
110101235761,2
110101235966,1
110101273028,1
110101273529,2
110101273620,3
110101273922,1
110101312724,1
110101312828,1
110101314368,1
110101333767,2
110101335867,3
110101373220,1
110101373529,2
110101373824,3
110101410726,1
110101410923,3
110101412525,1
110101412724,1
110101414569,1
110101416126,3
110101416320,1
110101416823,1
110101416924,3
110101435960,2
110101471220,1
110101473429,2
110101512325,1
110101514562,1
110101516321,2
110101518268,4
110101518665,1
110101518767,1
110101535067,5
110101535960,2
110101571523,1
110101573228,1
110101573520,3
110101610321,1
110101612223,1
110101612364,1
110101612421,1
110101612425,1
110101614364,1
110101615825,1
110101616128,1
110101616129,1
110101616464,1
110101616522,1
110101616528,1
110101616663,2
110101617025,2
110101617728,1
110101618267,5
110101635063,1
110101635362,1
110101635660,1
110101710127,6
110101710128,3
110101710325,1
110101714169,2
110101714560,1
110101714960,2
110101718068,1
110101718169,2
110101733868,2
110101735766,3
110101773227,7
110101810163,1
110101810167,1
110101810168,1
110101812321,1
110101814067,1
110101814767,2
110101814860,1
110101814865,1
110101814967,1
110101816027,2
110101816223,2
110101816420,4
110101818768,1
110101835564,4
110101835569,1
110101912129,1
110101912528,2
110101912822,1
110101916723,1
110101918161,1
110101918860,1
110101935266,1
110101973024,3
110101973922,2
110102012123,1
110102012329,2
110102016429,1
110102016721,1
110102018267,1
110102073220,1
110102112420,1
110102116321,2
110102116724,2
110102173926,2
110102212724,1
110102216020,1
110102216927,2
110102235466,1
110102273628,1
110102273726,2
110102312727,1
110102312928,1
110102318767,2
110102318865,1
110102333864,1
110102335168,1
110102335262,2
110102373224,1
110102373423,1
110102373628,1
110102416120,1
110102416820,1
110102416920,2
110102435365,1
110102471027,1
110102471529,1
110102473724,1
110102516029,4
110102516127,2
110102516928,3
110102518160,1
110102573423,4
110102612327,1
110102614267,1
110102614369,1
110102635664,1
110102673421,1
110102673920,1
110102712725,1
110102714267,1
110102716828,1
110102718168,1
110102718466,1
110102718666,1
110102733061,2
110102735661,1
110102771029,1
110102771220,3
110102773026,4
110102773127,1
110102773628,2
110102773720,2
110102773820,1
110102816326,1
110102833063,1
110102873024,1
110102873229,1
110102873829,3
110102912724,2
110102916021,1
110102933862,1
110102973622,1
110103012626,1
110103012925,1
110103014161,3
110103014162,3
110103016321,2
110103016325,1
110103016425,1
110103035263,1
110103035469,1
110103035961,1
110103073023,1
110103112124,2
110103116220,5
110103116726,1
110103135068,1
110103135866,2
110103173229,1
110103173422,1
110103173522,1
110103212628,7
110103214160,1
110103216627,2
110103216629,1
110103218165,1
110103218460,1
110103218468,1
110103218861,1
110103235063,2
110103235767,1
110103235860,2
110103235866,1
110103310120,1
110103314461,3
110103318069,2
110103318768,13
110103318964,1
110103333069,1
110103335168,1
110103335262,2
110103335461,1
110103371223,1
110103371520,1
110103414267,3
110103416726,1
110103416923,1
110103418169,1
110103418563,1
110103418663,2
110103435368,2
110103512529,2
110103516726,1
110103518960,1
110103518964,3
110103533864,1
110103535666,1
110103571022,1
110103571521,1
110103612721,1
110103612724,1
110103612820,3
110103612824,2
110103616923,1
110103635166,1
110103635769,2
110103671523,2
110103673025,1
110103673422,3
110103712629,1
110103712721,2
110103714366,1
110103716125,1
110103716726,1
110103718262,1
110103718562,2
110103735262,1
110103773329,2
110103773424,1
110103812628,1
110103812924,1
110103816223,1
110103818268,1
110103818368,1
110103818763,2
110103818769,1
110103818868,2
110103818960,1
110103835063,1
110103835163,1
110103873426,1
110103912520,2
110103916626,2
110103916929,1
110103918063,4
110103971224,1
110103973022,3
110103973525,2
110103973722,1
110104014260,1
110104016123,2
110104016224,1
110104016323,1
110104016626,1
110104018069,1
110104018162,1
110104018467,3
110104018763,1
110104033763,1
110104035063,1
110104035068,1
110104071021,1
110104071523,1
110104073322,1
110104073526,1
110104073720,1
110104110568,1
110104112529,5
110104116621,1
110104118067,3
110104118765,1
110104118964,4
110104133066,1
110104133765,2
110104135164,3
110104135365,1
110104135766,1
110104173622,2
110104173923,1
110104216425,1
110104218563,2
110104218762,2
110104235660,3
110104235661,1
110104235668,1
110104273226,1
110104273321,1
110104273527,9
110104312827,1
110104314164,2
110104316524,1
110104316625,1
110104333064,4
110104333762,1
110104335662,1
110104335964,1
110104371029,1
110104373122,2
110104373628,1
110104373825,1
110104412129,1
110104414061,2
110104416524,2
110104418863,1
110104418967,2
110104435761,1
110104435965,1
110104435969,6
110104473627,1
110104473827,2
110104516026,2
110104516620,1
110104518260,1
110104518967,1
110104535067,1
110104535465,1
110104573620,2
110104573927,1
110104612326,1
110104614968,1
110104616626,1
110104618865,6
110104618966,2
110104635160,1
110104671525,1
110104673429,1
110104712426,1
110104714061,2
110104714464,1
110104716027,3
110104716123,1
110104716425,2
110104716729,6
110104733865,6
110104733867,1
110104735260,1
110104771527,2
110104773525,18
110104810327,1
110104810820,2
110104814969,1
110104816822,1
110104833764,2
110104910929,1
110104916324,1
110104918366,1
110104918469,1
110104935368,1
110104935564,1
110104935566,1
110104935863,1
110105012725,1
110105014563,1
110105018366,1
110105033066,2
110105035267,2
110105035764,1
110105035860,1
110105112325,1
110105118266,3
110105118761,1
110105135060,1
110105173122,1
110105216628,1
110105216929,1
110105218969,1
110105233860,1
110105235863,2
110105273722,1
110105316125,1
110105316822,1
110105333860,2
110105335269,1
110105371027,2
110105373320,2
110105414265,5
110105416423,1
110105416428,1
110105418164,1
110105435861,3
110105473621,1
110105516127,3
110105516327,1
110105518366,1
110105535461,1
110105571020,1
110105573420,3
110105616423,1
110105616625,1
110105673726,2
110105718661,1
110105718964,3
110105733068,2
110105735669,1
110105816425,1
110105816621,1
110105816720,2
110105818361,1
110105818466,1
110105871525,1
110105916426,1
110105933862,1
110105973725,1
110105973822,2
110106018469,2
110106018964,2
110106033063,1
110106033862,1
110106035163,1
110106071225,3
110106071527,1
110106073127,3
110106073424,2
110106116520,1
110106135464,1
110106216728,5
110106216824,1
110106216926,1
110106235664,1
110106235667,4
110106273220,1
110106273428,2
110106316425,1
110106318562,2
110106318869,1
110106333864,2
110106333869,1
110106335160,6
110106373929,2
110106416725,1
110106418169,1
110106471023,3
110106471529,1
110106473124,1
110106516721,2
110106516826,2
110106518361,2
110106535063,5
110106535767,2
110106573225,1
110106573828,2
110106573922,1
110106616026,1
110106618865,1
110106633769,5
110106671224,1
110106671525,1
110106716120,1
110106716223,5
110106716721,2
110106716724,1
110106716725,3
110106735663,1
110106773221,3
110106833069,1
110106873621,2
110106873928,1
110106918369,5
110106918564,1
110106973924,4
110107012623,1
110107016724,1
110107018061,2
110107035067,1
110107071520,2
110107071524,1
110107073924,6
110107112062,3
110107112365,2
110107112464,3
110107112769,1
110107114060,2
110107114064,1
110107114564,2
110107116267,1
110107116421,1
110107118360,2
110107118563,1
110107118869,1
110107135567,1
110107173924,1
110107212426,1
110107212927,3
110107214669,1
110107216020,2
110107216627,1
110107216821,1
110107216921,3
110107218865,1
110107314067,1
110107314169,1
110107314260,1
110107314362,2
110107314862,2
110107316226,1
110107318364,1
110107318561,1
110107318567,1
110107318967,1
110107333060,2
110107335462,2
110107335660,1
110107335962,1
110107373824,1
110107412127,3
110107412462,2
110107412762,2
110107414062,1
110107416328,1
110107416629,1
110107418763,1
110107473228,2
110107514969,1
110107518764,1
110107535065,4
110107573925,2
110107610262,1
110107614061,2
110107614266,3
110107614368,1
110107618664,2
110107618762,1
110107633069,1
110107635161,1
110107635963,3
110107673925,1
110107716624,1
110107735669,1
110107735864,1
110107773620,1
110107810261,1
110107816821,3
110107816825,2
110107818868,1
110107835264,1
110107910662,1
110107914167,4
110108012629,2
110108014969,1
110108018468,1
110108018765,1
110108035961,1
110108110462,1
110108112126,1
110108114965,1
110108116223,1
110108133069,3
110108133768,1
110108135666,2
110108173129,1
110108214060,2
110108214264,6
110108214763,1
110108216527,1
110108218466,1
110108218762,1
110108235766,3
110108314369,2
110108314766,4
110108314863,1
110108318767,1
110108335565,1
110108418660,1
110108473727,1
110108510163,1
110108516428,1
110108610169,1
110108610565,1
110108614863,1
110108616525,1
110108633866,1
110108710160,1
110108712127,2
110108714166,4
110108714766,1
110108716127,1
