userid,tages_num,keywords_num
100000000013,0,5
100000000231,2,3
100000000471,0,0
100000000637,4,0
100000000755,1,0
100000000949,0,0
100000001023,10,9
100000001231,0,0
100000001505,10,10
100000001557,10,0
100000001711,0,0
100000001955,3,0
100000002165,0,0
100000002199,10,3
100000002243,0,0
100000002245,10,5
100000002371,5,10
100000003639,2,3
100000003685,3,0
100000003891,4,0
100000004297,0,6
100000004317,3,0
100000004867,3,0
100000005007,2,4
100000005125,1,0
100000006857,3,0
100000006981,10,3
100000007073,0,4
100000007609,10,5
100000008119,3,0
100000008253,10,3
100000008483,0,5
100000008995,9,3
100000009017,4,4
100000009249,8,6
100000009463,3,4
100000009583,1,0
100000009611,1,0
100000009773,10,9
100000010199,7,11
100000010279,2,0
100000010297,0,9
100000011325,0,2
100000011653,0,0
100000011763,4,9
100000011845,0,0
100000012027,2,0
100000012137,10,5
100000012219,0,0
100000012405,10,4
100000012931,10,8
100000012965,3,2
100000013381,4,0
100000013429,5,2
100000013837,4,0
100000013965,5,0
100000014259,0,0
100000014271,4,0
100000014315,0,0
100000014383,0,0
100000014679,0,0
100000014973,0,0
100000014981,9,0
100000015129,1,5
100000015223,4,3
100000015475,4,0
100000015791,10,2
100000015969,0,0
100000016219,8,0
100000016265,4,3
100000016341,0,0
100000016831,2,7
100000016861,4,0
100000017277,0,4
100000017367,0,0
100000017469,1,0
100000017965,0,0
100000018117,5,4
100000018259,3,8
100000018629,3,0
100000018905,4,4
100000019251,0,4
100000019375,6,0
100000019487,6,0
100000019489,1,0
100000019507,6,11
100000019641,0,5
100000019697,0,0
100000019829,0,0
100000020007,10,0
100000020017,1,0
100000020213,6,3
100000020393,10,4
100000020459,3,0
100000020809,0,0
100000020811,10,6
100000021111,7,0
100000021175,0,0
100000021395,0,4
100000021453,2,0
100000021659,5,4
100000022129,10,0
100000022335,0,0
100000022481,1,0
100000022571,3,0
100000022651,10,7
100000022761,0,0
100000022801,10,6
100000022931,0,0
100000023443,0,0
100000023915,0,0
110020371225,7,6
110020673328,0,5
110100014369,8,5
110100016828,3,11
110100018468,3,4
110100116423,10,0
110100135562,7,7
110100171021,5,0
110100173725,3,7
110100218568,9,3
110100273229,4,0
110100273825,8,3
110100318867,0,3
110100333066,4,0
110100333868,0,0
110100335665,5,9
110100418369,0,0
110100471223,8,13
110100512625,10,0
110100512728,2,0
110100514164,3,4
110100516727,7,0
110100516927,4,0
110100518264,0,4
110100518665,4,3
110100573022,4,4
110100573527,4,0
110100614366,2,5
110100618264,3,6
110100633862,0,6
110100712727,3,5
110100735566,0,2
110100773229,0,0
110100816923,4,4
110100818564,9,0
110100818565,0,2
110100835863,3,0
110100935462,1,7
110101014163,2,0
110101016424,0,0
110101016824,8,0
110101018565,1,0
110101018862,0,6
110101073020,9,6
110101073129,0,17
110101073528,2,0
110101112925,9,4
110101114365,0,0
110101118767,4,0
110101118860,2,0
110101173321,3,5
110101173327,3,6
110101173728,9,2
110101210169,0,0
110101210461,0,3
110101212820,0,0
110101212927,4,0
110101216163,4,7
110101216425,0,0
110101216628,2,0
110101217229,3,5
110101217621,4,0
110101235761,0,0
110101273028,3,8
110101273529,4,0
110101273620,3,9
110101312828,3,0
110101333767,1,6
110101373529,0,0
110101410923,5,0
110101414569,0,8
110101416126,0,4
110101416320,3,4
110101416823,6,0
110101416924,0,0
110101435960,10,0
110101471028,2,0
110101473121,8,0
110101473429,1,4
110101512325,4,0
110101514562,4,6
110101516321,7,0
110101518268,0,0
110101518767,2,0
110101535067,0,13
110101535960,0,0
110101571523,2,0
110101610321,5,5
110101612364,4,2
110101612421,0,8
110101612425,0,0
110101614364,0,7
110101615825,0,0
110101616129,0,7
110101616464,2,7
110101616522,3,0
110101616528,10,2
110101616663,0,0
110101617728,2,6
110101635063,8,0
110101710127,0,0
110101710128,4,10
110101714169,9,2
110101714560,10,0
110101718169,10,8
110101733868,10,5
110101735766,2,6
110101773227,8,4
110101810167,4,6
110101812321,4,0
110101814067,8,3
110101814967,1,0
110101816027,0,3
110101816420,0,0
110101912822,0,4
110101916723,3,8
110101935266,3,4
110101973024,10,0
110102012123,0,0
110102016429,3,0
110102112420,0,5
110102116724,0,0
110102173926,0,0
110102212724,0,2
110102235466,4,7
110102333864,3,6
110102335262,2,2
110102373022,10,3
110102373628,5,0
110102416120,10,8
110102416820,3,0
110102416920,10,0
110102471529,0,0
110102516029,2,7
110102516928,0,0
110102573423,0,0
110102614267,10,5
110102614369,2,0
110102635664,7,0
110102673920,0,2
110102716828,5,5
110102718168,4,0
110102718666,2,0
110102733061,1,0
110102735661,9,6
110102771220,0,0
110102773026,0,0
110102773628,10,5
110102773720,4,4
110102773820,0,0
110102816326,0,0
110102833063,10,7
110102873229,0,0
110102912724,4,0
110102912923,4,0
110102916021,0,0
110102973524,0,5
110102973622,2,0
110103012626,8,0
110103012925,3,0
110103014161,0,0
110103014162,0,0
110103016325,4,3
110103035263,0,0
110103035961,0,11
110103073023,3,0
110103112124,2,7
110103116726,2,0
110103135866,4,5
110103173229,3,5
110103173522,4,0
110103212628,4,10
110103214160,5,3
110103216629,1,0
110103218165,9,6
110103218468,3,5
110103218861,3,0
110103235063,0,0
110103235860,4,0
110103310120,3,5
110103314461,4,0
110103318069,0,3
110103318768,4,6
110103318964,0,0
110103333069,0,0
110103335168,0,5
110103335262,1,0
110103335461,0,0
110103335561,0,7
110103371223,7,7
110103371520,0,2
110103371528,3,0
110103414267,4,0
110103416726,1,7
110103416923,0,0
110103418169,0,4
110103418563,0,6
110103418663,0,0
110103435368,0,7
110103512529,10,3
110103518964,0,4
110103533864,0,0
110103535666,3,0
110103612721,9,7
110103612724,4,4
