userid,actionType1,actionType2,actionType3,actionType4,actionType5,actionType6,actionType7,actionType8,actionType9
100000000013,79,1,4,1,32,18,1,4,3
100000000111,1,0,0,0,1,1,0,0,0
100000000127,2,0,0,0,2,0,2,0,0
100000000231,15,6,2,5,10,6,0,0,0
100000000379,42,3,7,6,14,11,1,0,0
100000000393,23,0,1,0,8,3,1,1,1
100000000423,376,25,11,15,54,14,13,153,9
100000000459,17,0,0,0,19,30,0,2,3
100000000465,20,0,0,0,8,6,0,3,3
100000000471,2,0,3,0,11,5,0,1,0
100000000637,14,0,0,0,18,9,0,0,0
100000000695,4,3,1,5,10,4,2,1,1
100000000745,23,0,0,0,4,3,0,1,1
100000000755,2,0,0,0,3,0,0,0,0
100000000867,11,7,43,14,23,3,2,0,0
100000000949,13,2,1,1,11,8,4,3,3
100000000975,17,5,3,2,18,9,1,1,1
100000001023,188,4,5,2,112,70,6,11,3
100000001195,1,0,0,0,2,0,0,0,0
100000001231,15,0,0,0,16,3,0,1,0
100000001295,12,0,0,0,18,5,2,1,1
100000001343,4,0,0,0,3,4,1,2,1
100000001505,13,7,5,1,19,17,7,6,6
100000001557,8,0,0,0,12,2,0,0,0
100000001683,9,1,0,0,9,5,1,0,0
100000001711,4,0,0,0,20,15,0,2,2
100000001803,5,0,0,0,11,0,0,0,0
100000001955,4,1,0,0,6,5,4,3,3
100000001963,1,0,0,0,2,1,0,0,0
100000002111,7,0,0,0,14,6,0,0,0
100000002165,1,0,0,0,0,0,0,0,0
100000002179,25,0,0,0,26,3,0,0,0
100000002199,15,0,0,0,14,16,0,3,1
100000002215,9,4,0,1,18,9,1,0,0
100000002243,17,5,0,6,9,4,0,1,1
100000002245,12,0,0,0,4,0,0,0,0
100000002271,3,0,2,1,4,0,1,0,0
100000002307,4,0,0,0,3,1,0,0,0
100000002363,25,1,0,2,5,6,0,0,0
100000002371,19,0,0,0,14,10,1,4,1
100000002535,73,11,5,43,13,1,0,0,0
100000002581,3,0,0,0,3,0,0,0,0
100000002653,0,0,0,0,2,0,0,0,0
100000002811,20,0,4,0,7,3,1,0,0
100000002873,0,1,0,0,1,0,0,0,0
100000002879,31,1,2,0,12,1,1,0,0
100000003091,11,0,0,0,7,9,0,0,0
100000003097,8,0,0,0,9,4,0,3,1
100000003311,54,6,3,10,64,26,0,4,2
100000003461,9,11,5,6,7,3,0,1,0
100000003483,5,0,0,0,2,3,0,1,1
100000003559,1,0,0,0,0,0,0,0,0
100000003611,2,0,0,0,2,3,0,0,0
100000003639,14,0,0,0,10,2,2,0,1
100000003685,234,79,9,11,289,67,1,3,4
100000003805,7,0,0,1,5,3,2,0,0
100000003875,7,0,0,0,3,0,1,0,0
100000003891,12,0,0,0,6,1,0,1,1
100000003941,1,0,0,0,8,0,0,0,0
100000004163,8,1,1,1,9,6,0,0,2
100000004223,1,0,0,0,0,0,0,0,0
100000004277,42,2,0,0,56,21,1,1,0
100000004297,6,0,0,0,12,6,0,4,0
100000004303,1,0,0,0,0,1,0,0,0
100000004317,38,0,1,0,22,10,1,1,1
100000004319,39,0,0,0,13,5,1,0,0
100000004359,6,0,0,0,11,1,0,0,0
100000004429,29,0,1,2,32,12,0,0,0
100000004453,16,0,0,0,14,2,0,0,0
100000004529,6,0,0,0,11,9,0,0,0
100000004867,64,0,0,0,25,5,0,2,2
100000005007,63,0,0,0,89,33,0,2,0
100000005091,31,0,0,0,40,10,0,0,0
100000005125,9,1,0,0,6,0,0,0,0
100000005513,6,0,0,0,28,13,0,0,0
100000005649,5,0,0,0,11,11,0,0,0
100000005719,0,0,0,0,8,0,0,1,0
100000005739,12,0,1,1,15,13,1,0,0
100000005755,12,0,0,0,29,17,0,0,0
100000005805,1,0,0,0,1,0,0,0,0
100000005955,5,0,0,0,2,0,0,0,0
100000006005,12,0,0,0,21,17,0,0,0
100000006013,39,0,1,0,11,3,1,0,0
100000006081,48,0,0,0,16,7,1,16,17
100000006123,4,0,0,0,6,1,0,0,0
100000006395,4,0,0,0,5,3,1,0,0
100000006487,39,0,1,0,12,0,0,0,0
100000006539,4,0,0,0,15,8,0,0,0
100000006569,7,0,0,0,9,1,0,0,0
100000006605,9,0,0,0,5,1,1,0,0
100000006647,10,6,0,0,19,7,0,0,0
100000006857,8,3,0,7,17,1,0,0,0
100000006933,2,0,0,0,12,1,0,0,0
100000006981,20,0,0,0,17,8,0,5,4
100000007073,10,0,0,0,5,5,0,0,0
100000007079,14,0,0,0,23,8,1,1,1
100000007283,1,0,0,0,3,1,0,0,0
100000007329,2,0,0,0,2,4,0,0,0
100000007367,0,0,0,0,2,0,0,0,0
100000007409,23,48,6,73,29,3,1,6,4
100000007457,2,0,0,0,1,1,0,0,0
100000007533,4,0,0,0,4,1,0,0,0
100000007609,21,0,0,0,3,2,0,7,1
100000007639,11,0,0,0,9,2,0,0,0
100000007745,0,0,0,0,0,0,1,0,0
100000007753,5,0,0,0,12,2,0,0,0
100000007785,5,18,14,25,15,7,6,2,3
100000008119,16,0,0,0,8,9,0,3,0
100000008253,14,2,3,0,20,8,1,0,0
100000008425,12,5,34,1,31,16,3,0,0
100000008481,8,0,0,0,12,8,0,0,0
100000008483,12,0,0,0,17,9,0,2,2
100000008529,17,9,2,0,8,7,1,0,0
100000008565,10,0,0,0,5,0,0,0,0
100000008995,12,4,48,2,48,8,2,1,1
100000009017,6,4,0,0,4,4,3,1,1
100000009249,12,0,0,0,8,2,0,0,0
100000009417,7,0,0,0,12,3,0,0,0
100000009463,26,0,0,0,22,12,0,1,1
100000009481,5,0,0,0,8,11,0,0,0
100000009491,8,0,1,0,4,4,1,1,1
100000009583,0,0,0,0,4,3,0,0,0
100000009611,18,2,1,2,41,5,3,2,2
100000009743,11,14,28,3,5,2,0,0,0
100000009771,2,0,0,0,0,0,0,0,0
100000009773,31,2,0,0,24,22,1,1,0
100000009807,16,0,0,1,19,11,0,0,0
100000009925,22,3,4,0,19,19,7,3,3
100000010101,37,3,5,14,18,19,2,0,0
100000010161,17,0,6,2,21,13,2,4,2
100000010177,3504,179,77,175,1761,406,32,53,30
100000010199,72,39,27,9,67,41,4,10,3
100000010239,6,0,0,0,9,2,0,1,1
100000010247,10,0,0,0,3,2,0,2,2
100000010249,15,1,0,8,38,28,2,0,0
100000010279,10,0,0,0,10,2,0,0,0
100000010287,41,7,9,34,19,0,1,0,0
100000010293,2,0,0,0,2,2,0,0,0
100000010297,1,0,0,0,6,2,0,0,0
100000011105,4,0,0,0,4,2,0,0,0
100000011131,25,0,0,0,89,40,0,9,2
100000011325,1,0,0,0,29,20,0,0,0
100000011427,8,0,0,0,2,2,0,1,1
100000011573,3,1,0,0,2,2,1,0,0
100000011591,5,0,0,0,5,8,0,1,1
100000011653,33,0,0,0,14,3,0,2,2
100000011741,15,0,1,0,20,9,0,3,2
100000011755,3,0,0,0,8,5,0,0,0
100000011763,2,0,0,0,16,3,2,0,0
100000011845,4,0,0,0,19,4,0,4,4
100000011933,33,0,1,0,10,3,0,1,1
100000012027,11,0,0,0,0,0,0,0,0
100000012133,6,0,0,0,2,4,0,1,1
100000012137,1,3,0,4,5,0,0,0,0
100000012213,4,0,0,0,12,6,0,0,0
100000012219,27,0,0,0,12,5,0,5,2
100000012235,3,0,0,0,0,0,0,0,0
100000012277,5,0,0,0,9,3,0,0,0
100000012341,10,0,0,0,11,11,1,1,0
100000012367,16,0,0,0,15,5,0,1,0
100000012405,21,0,0,0,16,8,0,0,0
100000012441,6,2,0,1,7,6,0,0,0
100000012507,24,0,0,0,29,7,0,6,0
100000012713,15,0,0,0,3,3,0,0,0
100000012715,5,0,0,0,35,15,0,1,0
100000012717,8,0,0,0,47,29,0,1,0
100000012719,6,0,0,0,8,7,1,0,0
100000012793,1,0,0,0,2,2,0,0,0
100000012867,6,0,0,0,4,5,0,0,0
100000012885,2,0,0,0,1,0,0,0,0
100000012889,9,0,0,0,9,6,2,1,1
100000012931,26,0,4,0,20,7,2,1,1
100000012965,6,0,4,1,6,4,2,1,1
100000012981,35,0,0,0,62,43,0,0,0
100000013027,4,0,0,0,3,2,0,0,0
100000013381,10,0,0,0,7,3,0,1,0
100000013429,4,0,0,0,3,1,0,0,0
100000013461,0,0,0,0,3,0,0,1,0
100000013471,18,1,0,0,15,14,2,1,2
100000013499,28,0,0,0,15,13,0,3,2
100000013669,7,0,0,0,10,0,0,0,0
100000013673,1,0,0,0,3,1,3,0,0
100000013837,3,3,0,0,13,6,3,0,0
100000013965,17,0,0,1,32,15,0,2,0
100000014029,8,0,0,0,5,7,0,0,0
100000014143,2,0,0,0,11,7,0,1,0
100000014259,19,0,0,0,16,12,0,2,2
100000014271,10,2,1,2,13,7,2,1,1
100000014311,33,7,3,33,43,26,2,0,0
100000014315,13,0,0,0,23,16,1,0,0
100000014383,23,0,0,0,19,23,0,3,1
100000014421,24,1,1,1,8,6,3,1,0
100000014423,12,0,0,0,8,4,0,2,1
100000014449,8,0,0,0,10,4,0,0,0
100000014641,11,0,0,0,1,0,0,0,0
100000014679,12,0,0,0,18,7,0,3,0
100000014745,23,0,0,0,10,6,0,2,2
100000014865,5,0,1,0,0,0,0,0,0
100000014899,16,0,1,0,21,24,0,1,1
100000014949,7,1,0,6,5,4,1,0,0
100000014973,6,0,0,0,8,3,0,1,0
100000014981,10,0,0,0,12,4,3,4,3
100000015043,3,0,0,0,3,2,0,0,0
100000015129,7,0,0,0,7,12,0,1,1
100000015145,3,0,0,0,5,1,0,0,0
100000015153,7,3,1,5,5,2,0,0,0
100000015213,36,0,0,0,7,2,0,3,0
100000015223,39,0,0,0,61,20,0,1,0
100000015275,3,0,0,0,3,2,0,1,0
100000015433,15,0,0,0,45,18,0,2,1
100000015475,0,0,0,0,8,0,0,0,0
100000015747,1,1,0,0,2,2,0,0,0
100000015791,31,0,0,0,78,13,0,0,0
100000015969,10,0,0,0,14,9,0,8,3
100000016009,2,0,0,0,5,1,0,0,0
100000016197,4,0,0,0,9,4,0,0,0
100000016219,6,0,0,0,9,0,0,0,0
100000016265,25,2,14,0,30,19,6,6,5
100000016341,28,0,0,0,57,21,2,21,16
100000016351,5,0,0,0,3,1,1,1,1
100000016391,11,0,0,0,17,9,0,0,0
100000016831,10,0,0,0,13,5,3,2,2
100000016845,4,0,0,0,5,5,0,1,0
100000016861,35,4,0,0,17,4,2,1,2
100000016987,12,0,0,0,13,14,0,0,0
100000017177,29,0,0,0,30,10,0,6,7
100000017277,59,8,7,2,72,82,4,10,3
100000017281,7,0,0,0,10,6,0,2,2
100000017345,6,0,0,0,3,0,0,0,0
100000017367,9,0,0,0,17,10,0,9,3
100000017465,6,0,16,2,7,4,2,0,0
100000017469,15,0,0,0,5,1,0,1,1
100000017505,5,0,0,0,6,0,0,0,0
100000017691,12,0,0,0,20,13,0,4,3
100000017693,13,0,0,0,12,8,0,0,0
100000017965,1,0,0,0,0,0,0,0,0
100000018097,1,0,0,0,3,2,0,0,0
100000018117,5,0,0,0,9,2,0,0,0
100000018123,0,0,0,0,3,0,0,0,0
100000018259,33,0,0,0,10,2,0,2,0
100000018413,5,8,29,2,4,4,1,0,0
100000018417,5,0,0,0,4,1,0,1,1
100000018629,5,5,2,3,16,1,1,0,0
100000018905,9,4,16,1,11,6,1,0,0
100000018941,3,0,0,0,3,0,0,0,0
100000018979,15,9,32,14,20,4,2,1,1
100000019251,8,0,0,0,21,3,0,3,0
100000019375,14,0,0,0,17,3,0,0,0
100000019379,4,0,0,0,2,1,0,0,0
100000019487,45,0,0,0,63,63,0,0,0
100000019489,3,0,0,0,8,4,0,0,0
