userid,actionType1,actionType2,actionType3,actionType4,actionType5,actionType6,actionType7,actionType8,actionType9,user_purchase_orderType01_times,if_exist_rate_largerthan_2,user_click_num,user_click_rate,user_purchase_num,user_open_app_num,user_purchase_rate,user_orderType0_rate_largerthan_2,actionType234_after_submit_last_order,tages_num,keywords_num,browse_product_num_by_day,firstType,daoshuType1,daoshuType2,daoshuType3,to_closest_1_time,to_closest_2_time,to_closest_2_time_interval_mean,to_closest_2_time_interval_min,to_closest_3_dist,to_closest_3_time,to_closest_3_time_interval_mean,to_closest_3_time_interval_min,to_closest_4_time,to_closest_4_time_interval_min,to_closest_5_time,to_closest_5_dist,to_closest_5_time_interval_mean,to_closest_5_time_interval_min,to_closest_5_time_interval_max,to_closest_5_time_interval_var,to_closest_6_time,to_closest_6_time_interval_mean,to_closest_6_time_interval_min,to_closest_6_time_interval_max,to_closest_6_time_interval_var,to_closest_7_time,to_closest_7_time_interval_mean,to_closest_7_time_interval_min,to_closest_7_time_interval_max,to_closest_7_time_interval_var,to_closest_8_dist,to_closest_8_time,to_closest_8_time_interval_mean,to_closest_8_time_interval_min,to_closest_8_time_interval_var,to_closest_9_time,to_closest_9_time_interval_mean,to_closest_9_time_interval_var,to_closest_9_time_interval_mean_multi_var,interval_mean,interval_var,interval_min,interval_lastvale1,interval_lastvale2,interval_lastvale3,interval_lasetvale4,interval_last3_mean,interval_last3_var,first_interval
100000000371,1,0,0,0,6,4,2,0,0,1.0,,13,0.39,0.0,1.0,0.0,,0.0,,,0.92,1,7,6.0,6.0,6333.0,,,,,,,,,,387.0,4.0,96.75,13.0,146.0,2796.69,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,527.75,1463756.02,3,90,13,146,138,83.0,2972.67,16
100000001215,11,0,0,0,14,2,0,0,0,,,27,0.82,0.0,11.0,0.0,,,,,0.59,1,6,5.0,5.0,163.0,,,,,,,,,,65.0,1.0,65.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,461634.19,1143814955202.39,2,65,4,32,62,33.67,621.56,256
100000001445,83,0,0,0,66,14,0,7,4,5.0,,174,5.25,4.0,83.0,4.82,1.0,0.0,3.0,0.0,0.52,1,6,5.0,5.0,325.0,,,,,,,,,,141.0,1.0,141.0,141.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,60.0,12751062.0,212517.7,1.0,368911091097.0,12763932.0,184984.52,325847112562.0,34219272639.6,96568.82,149684398665.46,1,141,133,47,4,107.0,1810.67,18
100000001575,19,0,0,0,42,22,0,1,0,3.0,,84,2.54,0.0,19.0,0.0,1.0,0.0,1.0,11.0,0.77,1,6,5.0,5.0,8397.0,,,,,,,,,,24.0,1.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27.0,1294615.0,47948.7,2.0,33511233729.0,,,,,166405.14,591921259613.79,2,24,45,70,50,46.33,353.56,67
100000001601,7,0,1,0,1,2,0,2,2,,,15,0.45,2.0,7.0,28.57,,,4.0,0.0,0.53,5,1,1.0,1.0,0.0,,,,4.0,1546870.0,386717.5,9110.0,,,18629071.0,14.0,1330647.93,9.0,15940913.0,16579435270000.0,18628994.0,1552416.17,9.0,15940913.0,18998406421700.0,,,,,,7.0,2683175.0,383310.71,9.0,251372641346.0,2683166.0,447194.33,264700264092.0,199982768784.0,1330647.93,16579435270046.07,9,1200148,160679,9110,176933,456645.67,280226720129.56,20
100000001737,68,1,20,0,62,27,5,3,4,3.0,,190,5.74,4.0,68.0,5.88,1.0,7.0,0.0,7.0,0.64,1,7,6.0,6.0,376.0,521937.0,5436.84,2.0,3.0,129.0,43.0,8.0,,,116.0,2.0,58.0,8.0,108.0,2500.0,108.0,108.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,279179.0,13294.24,4.0,2495927158.47,279148.0,13957.4,2611488058.44,194809014.76,99226.05,526208269893.47,1,108,8,13,37,43.0,2116.67,81305
100000001829,13,0,0,0,6,3,0,2,0,1.0,,24,0.72,0.0,13.0,0.0,,0.0,,,0.46,1,6,5.0,5.0,347.0,,,,,,,,,,344.0,1.0,344.0,344.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12.0,1096020.0,91335.0,3.0,18042154522.3,,,,,321896.61,585242855068.93,3,344,3,451010,47972,150452.33,45167474876.22,20
100000002055,8,0,0,0,11,5,0,1,1,,,26,0.79,1.0,8.0,12.5,,,,,0.69,1,1,1.0,1.0,0.0,,,,,,,,,,100173.0,5.0,20034.6,15.0,63738.0,598698309.04,266444.0,24222.18,7.0,87244.0,1123149379.42,,,,,,4.0,97474.0,24368.5,15.0,654459440.25,97459.0,32486.33,609015714.89,1055361636.87,45240.52,19503765126.97,4,30315,63738,3406,15,32486.33,609015714.89,9
100000002241,14,0,0,0,16,4,0,3,0,2.0,,37,1.12,0.0,14.0,0.0,1.0,0.0,5.0,0.0,0.62,5,6,5.0,5.0,9126.0,,,,,,,,,,186.0,1.0,186.0,186.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20.0,17661143.0,883057.15,10.0,5926890930580.0,,,,,603827.08,3673233634015.3,3,186,8643,28,259,2952.33,16196004.22,249
100000003067,19,0,0,0,23,3,0,2,2,,,49,1.48,2.0,19.0,10.53,,,0.0,0.0,0.61,1,5,5.0,5.0,17.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,14664832.0,771833.26,2.0,8863485.0,5123514442010.0,,,,,,36.0,16090901.0,446969.47,2.0,2833516073200.0,16090881.0,459739.46,2908603064750.0,211360371081.0,372950.67,2171924738583.51,2,2,15,5482901,4,1827639.33,6680468925929.56,304
100000004161,25,0,0,0,13,8,0,5,2,4.0,,53,1.6,2.0,25.0,8.0,1.0,0.0,0.0,0.0,0.53,1,5,1.0,1.0,321.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,270306.0,33788.25,100.0,182630.0,3821870576.19,,,,,,7.0,270206.0,38600.86,117.0,4182562586.98,8129721.0,280335.21,1226328743100.0,78587829965.7,318200.9,1655908980471.28,5,321,6612,79434,220,28789.0,1289054126.0,269389
100000004307,4,0,0,0,2,1,1,0,0,,,8,0.24,0.0,4.0,0.0,,,,,0.5,1,1,5.0,5.0,0.0,,,,,,,,,,470.0,1.0,470.0,470.0,470.0,0.0,1662.0,332.4,94.0,493.0,34138.64,1543.0,385.75,94.0,493.0,28442.19,,,,,,,,,,317.86,43129.55,29,470,94,493,486,352.33,33456.22,29
100000004855,12,10,24,1,18,4,2,3,3,1.0,,77,2.32,3.0,12.0,25.0,,19.0,10.0,0.0,0.84,1,7,6.0,6.0,277.0,539357.0,28387.21,6.0,3.0,149.0,49.67,6.0,539382.0,6.0,143.0,2.0,71.5,25.0,118.0,2162.25,118.0,118.0,118.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,540756.0,14615.03,4.0,3244879363.0,540750.0,15020.83,3328921786.81,225625333.88900003,78382.88,309926417163.1,4,118,25,6,128,49.67,2394.89,415
100000005055,5,0,0,0,6,4,0,4,4,,,23,0.69,4.0,5.0,80.0,,,,,0.78,1,1,9.0,9.0,0.0,,,,,,,,,,32765.0,6.0,5460.83,2.0,32550.0,146765720.14,32749.0,6549.8,2.0,32550.0,169003773.76,,,,,,2.0,32644.0,16322.0,94.0,263347984.0,32550.0,32550.0,0.0,1059502500.0,62661.18,46691466136.51,1,32550,94,2,23,10882.0,234752522.67,994925
100000005701,0,0,0,0,1,1,0,0,0,,,2,0.06,0.0,0.0,0.0,,,,,1.0,5,6,5.0,,,,,,,,,,,,1668.0,1.0,1668.0,1668.0,1668.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1668.0,0.0,1668,1668,0,0,0,556.0,618272.0,1668
100000006247,6,3,0,0,4,2,1,1,1,1.0,,18,0.54,1.0,6.0,16.67,1.0,0.0,0.0,3.0,0.67,1,6,5.0,5.0,940.0,3947494.0,358863.09,2.0,,,,,,,925.0,1.0,925.0,925.0,925.0,0.0,0.0,0.0,0.0,0.0,0.0,3947169.0,493396.13,2.0,3557717.0,1355247713200.0,7.0,3947167.0,563881.0,9.0,1509109588540.0,3947158.0,657859.67,1698803924780.0,432779345413.0,243799.82,695169545609.44,1,925,15,48,3557717,329.33,177590.89,12
100000006327,1,0,0,0,8,4,0,0,0,1.0,,13,0.39,0.0,1.0,0.0,,0.0,,,0.92,1,6,5.0,5.0,1336.0,,,,,,,,,,46.0,1.0,46.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,111.33,12672.39,5,46,5,375,10,142.0,27424.67,97
100000006333,19,0,0,0,19,9,0,7,7,,,61,1.84,7.0,19.0,36.84,,,,,0.69,1,6,5.0,5.0,152.0,,,,,,,,,,148.0,1.0,148.0,148.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13.0,3720886.0,286222.0,4.0,561880514304.0,3720868.0,310072.33,601308991295.0,96144849831.6,88059.05,154841428126.48,1,148,4,2857882,176412,952678.0,1814901144264.0,43
100000006397,12,0,0,0,17,4,0,0,0,,,33,1.0,0.0,12.0,0.0,,,,,0.64,1,1,1.0,1.0,0.0,,,,,,,,,,1115536.0,2.0,557768.0,120192.0,995344.0,191472755776.0,1449628.0,241604.67,3.0,995344.0,118471822282.0,,,,,,,,,,,,,,,107472.88,51447587700.92,3,120192,995344,3,92,371846.33,196782236122.89,108
100000007397,2,0,0,0,1,3,0,0,0,,,6,0.18,0.0,2.0,0.0,,,0.0,4.0,0.67,1,6,6.0,6.0,386.0,,,,,,,,,,377.0,3.0,125.67,56.0,212.0,4194.89,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,92.4,4625.84,9,109,212,56,9,125.67,4194.89,76
100000007525,13,3,0,6,21,12,1,1,2,1.0,,59,1.78,2.0,13.0,15.38,1.0,8.0,2.0,4.0,0.78,1,6,5.0,5.0,3045.0,39.0,19.5,5.0,,,,,90.0,5.0,34.0,1.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,244666.0,5967.46,3.0,97373.0,436529619.57,40.0,244657.0,6116.43,3.0,446533088.34,244566.0,6435.95,467992876.31,41421452.4025,351347.14,1991834913259.95,3,34,5,51,214,30.0,360.67,7
100000007951,1,0,2,0,4,0,0,0,0,,,7,0.21,0.0,1.0,0.0,,,1.0,3.0,0.86,1,5,5.0,5.0,195.0,,,,4.0,123.0,30.75,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,32.5,307.92,5,41,58,5,19,34.67,488.22,27
100000007955,9,0,0,0,14,5,0,3,2,1.0,,33,1.0,2.0,9.0,22.22,1.0,0.0,1.0,0.0,0.73,1,5,5.0,5.0,1772474.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1772406.0,177240.6,5.0,807895.0,71202568768.4,,,,,,5.0,284035.0,56807.0,144.0,8580070368.8,1848882.0,123258.8,53576229925.1,15192731777.4,82346.19,30857849571.71,5,144,35740,7788,160,14557.33,234091139.56,5
100000008131,2,0,0,0,2,0,0,0,0,,,4,0.12,0.0,2.0,0.0,,,0.0,0.0,0.5,1,1,5.0,5.0,0.0,,,,,,,,,,8280935.0,1.0,8280935.0,8280935.0,8280935.0,0.0,,,,,,,,,,,,,,,,,,,,7004878.67,22276893287080.22,692866,8280935,692866,12040835,0,7004878.67,22276893287080.22,12040835
100000008427,11,0,0,0,19,10,0,4,2,1.0,,46,1.39,2.0,11.0,18.18,,0.0,,,0.76,1,6,5.0,5.0,102.0,,,,,,,,,,96.0,1.0,96.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,11.0,10622855.0,965714.09,5.0,5661891119540.0,15801537.0,544880.59,2389121766980.0,296894857359.0,367386.98,1603634242108.64,2,96,6,8215386,66,2738496.0,14998162037400.0,12639
